"PY"	"TI"	"AU"	"DES"	"IDS"	"DI"	"SO"	"C1S"	"Coder"	"DT"
2006	"IMMUNOHISTOCHEMICAL EXPRESSION OF HIF-1 IN RESPONSE TO EARLY MYOCARDIAL ISCHEMIA"	"PAMPN JB;GARCA RIVERO SA;OTERO CEPEDA XL;BOQUETE AV;VILA JF;FONSECA RH"	"FORENSIC PATHOLOGY;  FORENSIC SCIENCE;  HEART;  HYPOXIA-INDUCIBLE FACTOR-1 ALPHA;  IMMUNOHISTOCHEMISTRY;  MYOCARDIAL ISCHEMIA"	"HYPOXIA INDUCIBLE FACTOR 1ALPHA;  ISOPROPAMIDE IODIDE; ADULT;  AGED;  ARTICLE;  AUTOPSY;  BIOTINYLATION;  DEATH;  EVALUATION;  FEMALE;  FORENSIC IDENTIFICATION;  HEART INJURY;  HEART MUSCLE INJURY;  HEART MUSCLE ISCHEMIA;  HUMAN;  HUMAN TISSUE;  IMMUNOHISTOCHEMISTRY;  MALE;  METHODOLOGY;  MICROSCOPY;  PRIORITY JOURNAL;  PROTEIN EXPRESSION;  STAINING;  SYMPTOM;  TISSUE NECROSIS;  TISSUE SECTION; 80 AND OVER;  CASE-CONTROL STUDIES;  FORENSIC PATHOLOGY;  HUMANS;  HYPOXIA-INDUCIBLE FACTOR 1; ALPHA SUBUNIT;  MIDDLE AGED;  MYOCARDIAL ISCHEMIA;  MYOCARDIUM;  PROSPECTIVE STUDIES"	"10.1111/j.1556-4029.2005.00014.x"	"JOURNAL OF FORENSIC SCIENCES"	"DEPARTMENT OF FORENSIC MEDICINE AND PATHOLOGY, MINISTRY OF JUSTICE, SANTIAGO DE COMPOSTELA, SPAIN;DEPARTMENT OF BIOSTATISTICS, FACULTY OF MEDICINE, SANTIAGO DE COMPOSTELA, SPAIN;DEPARTMENT OF PATHOLOGY, FACULTY OF MEDICINE, SANTIAGO DE COMPOSTELA, SPAIN;DEPARTMENT OF LEGAL MEDICINE, UNIVERSITY OF OVIEDO, OVIEDO, SPAIN"	"Scopus"	"ARTICLE"
2006	"IN-MATRIX DERIVATIZATION AND AUTOMATED HEADSPACE SOLID-PHASE MICROEXTRACTION FOR GC-MS DETERMINATION OF AMPHETAMINE-RELATED DRUGS IN HUMAN HAIR"	"YAHATA M;NAMERA A;NISHIDA M;YASHIKI M;KURAMOTO T;KIMURA K"	"AMPHETAMINE;  HAIR ANALYSIS;  MDA;  MDMA;  METHAMPHETAMINE;  SPME"	"AMPHETAMINE;  AMPHETAMINE DERIVATIVE;  CHLOROFORMIC ACID ETHYL ESTER;  METHAMPHETAMINE; ANALYSIS;  ARTICLE;  CALIBRATION;  CONTROLLED STUDY;  DERIVATIZATION;  DESORPTION;  DRUG ABUSE;  GAS CHROMATOGRAPHY;  HAIR;  HOSPITAL ADMISSION;  HUMAN;  HUMAN TISSUE;  MASS SPECTROMETRY;  PRIORITY JOURNAL;  SAMPLE;  SOLID PHASE MICROEXTRACTION"	"10.1007/s11419-006-0010-6"	"FORENSIC TOXICOLOGY"	"DEPARTMENT OF LEGAL MEDICINE, GRADUATE SCHOOL OF BIOMEDICAL SCIENCES, HIROSHIMA UNIVERSITY, 1-2-3 KASUMI, MINAMI-KU, HIROSHIMA 734-8551, JAPAN;SCIENTIFIC INVESTIGATION LABORATORY, HIROSHIMA PREFECTURAL POLICE HEADQUARTERS, HIROSHIMA, JAPAN"	"Scopus"	"ARTICLE"
2006	"INTERNATIONAL CONFERENCE ON INTERNET SURVEILLANCE AND PROTECTION, ICISP'06"	"NA NA"	NA	"CONGESTION CONTROL (COMMUNICATION);  FIBER OPTIC NETWORKS;  INTERNET PROTOCOLS;  QUALITY OF SERVICE;  ROBUST CONTROL;  SIGNAL SYSTEMS;  SONAR;  WIRELESS NETWORKS; FORENSIC ANALYSIS;  INTERNET SURVEILLANCE;  WEB SERVER SYSTEMS; NETWORK SECURITY"	NA	"INTERNATIONAL CONFERENCE ON INTERNET SURVEILLANCE AND PROTECTION, ICISP'06"	NA	"Scopus"	"CONFERENCE MATERIAL"
2006	"INTEROPERATOR TEST FOR ANATOMICAL ANNOTATION OF EARPRINTS"	"ALBERINK IB;RUIFROK ACC;KIECKHOEFER H"	"ANATOMICAL ANNOTATION;  CLASSIFICATION;  EARPRINT IDENTIFICATION;  FORENSIC SCIENCE;  INTEROPERATOR EFFECTS;  TEMPLATE MATCHING"	"ANATOMICAL VARIATION;  ANATOMY;  ARTICLE;  CLASSIFICATION;  DATA BASE;  EAR;  EARPRINT;  EDUCATION;  FORENSIC IDENTIFICATION;  FORENSIC MEDICINE;  FORENSIC SCIENCE;  HUMAN;  KNOWLEDGE BASE;  MEASUREMENT;  OBSERVATION;  PHYSICAL ANTHROPOLOGY;  PRIORITY JOURNAL;  RESEARCH;  VALIDATION PROCESS;  VECTOR TEMPLATE MATCHING; DATA COLLECTION;  DATABASES; FACTUAL; EXTERNAL;  EUROPE;  HUMANS;  IMAGE PROCESSING; COMPUTER-ASSISTED;  LOGISTIC MODELS;  OBSERVER VARIATION"	"10.1111/j.1556-4029.2006.00253.x"	"JOURNAL OF FORENSIC SCIENCES"	"DEPARTMENT OF DIGITAL TECHNOLOGY, NETHERLANDS FORENSIC INSTITUTE, PO BOX 24044, 2490 AA, DEN HAAG, NETHERLANDS;DEPARTMENT OF MECHANICAL ENGINEERING, UNIVERSITY OF HUDDERSFIELD, QUEENSGATE, HUDDERSFIELD, HD1 3DH, UNITED KINGDOM"	"Scopus"	"ARTICLE"
2006	"LIQUID CHROMATOGRAPHY ELECTROSPRAY TANDEM MASS SPECTROMETRIC AND DESORPTION ELECTROSPRAY IONIZATION TANDEM MASS SPECTROMETRIC ANALYSIS OF CHEMICAL WARFARE AGENTS IN OFFICE MEDIA TYPICALLY COLLECTED DURING A FORENSIC INVESTIGATION"	"D'AGOSTINO PA;HANCOCK JR;CHENIER CL;LEPAGE CRJ"	"CHEMICAL WARFARE AGENTS;  DESORPTION ELECTROSPRAY IONIOZATION;  ELECTROSPRAY IONIZATION;  LIQUID CHROMATOGRAPHY;  MASS SPECTROMETRY;  TANDEM MASS SPECTROMETRY"	"DESORPTION;  ERROR ANALYSIS;  IONIZATION;  LIQUID CHROMATOGRAPHY;  MASS SPECTROMETERS;  SURFACES; CHEMICAL WARFARE AGENTS;  ELECTROSPRAY IONIZATION;  HIGH RESOLUTION MASS SPECTRA; CHEMICAL WARFARE; CHEMICAL WARFARE AGENT;  CYCLOSARIN;  PHOSPHATE;  SARIN;  SOMAN;  TABUN;  TRIETHYL PHOSPHATE;  UNCLASSIFIED DRUG; ARTICLE;  CHEMICAL ANALYSIS;  DESORPTION;  ELECTROSPRAY MASS SPECTROMETRY;  PRIORITY JOURNAL;  SOLID PHASE MICROEXTRACTION; CENTRAL NERVOUS SYSTEM AGENTS;  CHEMICAL WARFARE AGENTS;  CHROMATOGRAPHY; LIQUID;  FORENSIC MEDICINE;  ORGANOPHOSPHORUS COMPOUNDS;  PHOSPHORIC ACID ESTERS;  REPRODUCIBILITY OF RESULTS;  SENSITIVITY AND SPECIFICITY;  SPECIMEN HANDLING;  SPECTROMETRY; MASS; ELECTROSPRAY IONIZATION;  TIME FACTORS"	"10.1016/j.chroma.2006.01.083"	"JOURNAL OF CHROMATOGRAPHY A"	"DRDC SUFFIELD, P.O. BOX 4000 STATION MAIN, MEDICINE HAT, ALTA. T1A 8K6, CANADA"	"Scopus"	"ARTICLE"
2006	"MICROSCOPIC AND ELECTRON MICROSCOPIC OBSERVATION ON DEPENDENCE-RELATED CEREBRAL REGIONS IN MORPHINE-DEPENDENT RATS"	"ZHU H;LI LH;YANG JL"	"CEREBRAL REGIONS RELATED TO MORPHINE DEPENDENCE;  DRUG ABUSE;  FORENSIC TOXICOLOGY;  RAT"	"MORPHINE; ANIMAL MODEL;  ARTICLE;  BRAIN;  CELL SWELLING;  CHROMOSOME PAIRING;  CONTROLLED STUDY;  DRUG DEPENDENCE;  DRUG WITHDRAWAL;  ELECTRON MICROSCOPY;  EXPERIMENTAL MODEL;  HIPPOCAMPUS;  HISTOPATHOLOGY;  HYPOXIA;  ISCHEMIA;  LYMPHOCYTIC INFILTRATION;  MORPHINE ADDICTION;  NERVE FIBER;  NONHUMAN;  POLYSOME;  RAT"	NA	"CHINESE JOURNAL OF FORENSIC MEDICINE"	"DEPARTMENT OF FORENSIC MEDICINE, WENZHOU MEDICAL COLLEGE, WENZHOU 325035, CHINA"	"Scopus"	"ARTICLE"
2006	"MICROSCOPIC MYOCARDIAL CHANGES AND THEIR SIGNIFICANCE FOR FORENSIC MEDICAL DIAGNOSIS"	"KAPUSTIN AV"	NA	"ARTICLE;  CADAVER;  CARDIOMYOPATHY;  FORENSIC PATHOLOGY;  HEART MUSCLE;  HUMAN;  PATHOLOGY; CARDIOMYOPATHIES;  HUMANS;  MYOCARDIUM;  POSTMORTEM CHANGES"	NA	"SUDEBNO-MEDITSINSKAIA EKSPERTIZA"	NA	"Scopus"	"ARTICLE"
2006	"NON-AQUEOUS CAPILLARY ELECTROPHORESIS WITH RED LIGHT EMITTING DIODE ABSORBANCE DETECTION FOR THE ANALYSIS OF BASIC DYES"	"FAKHARI AR;BREADMORE MC;MACKA M;HADDAD PR"	"CAPILLARY ELECTROPHORESIS;  DYES;  FORENSICS;  INK ANALYSIS;  LIGHT-EMMITING DIODE;  NON-AQUEOUS CAPILLARY ELECTROPHORESIS"	"ACETONITRILE;  ELECTROPHORESIS;  ETHANOL;  LIGHT EMITTING DIODES;  LIGHT SOURCES;  MASS SPECTROMETRY;  NEURAL NETWORKS; CAPILLARY ELECTROPHORESIS;  FORENSICS;  INK ANALYSIS;  NON-AQUEOUS CAPILLARY ELECTROPHORESIS; DYES; ACETONE;  ACETONITRILE;  ALCOHOL;  DIMETHYL SULFOXIDE;  DYE;  ELECTROLYTE;  METHANOL;  N;N DIMETHYLFORMAMIDE;  SOLVENT;  TETRAHYDROFURAN;  WATER; ACIDITY;  ANALYTIC METHOD;  ARTICLE;  ARTIFICIAL NEURAL NETWORK;  CAPILLARY ELECTROPHORESIS;  CAPILLARY WALL;  FORENSIC SCIENCE;  LIGHT ABSORPTION;  LIGHT EMITTING DIODE;  PRIORITY JOURNAL;  RED LIGHT;  SENSITIVITY ANALYSIS;  ULTRAVIOLET RADIATION"	"10.1016/j.aca.2006.07.066"	"ANALYTICA CHIMICA ACTA"	"AUSTRALIAN CENTRE FOR RESEARCH ON SEPARATION SCIENCE, SCHOOL OF CHEMISTRY, UNIVERSITY OF TASMANIA, GPO BOX 252-75, HOBART, TAS 7001, AUSTRALIA"	"Scopus"	"ARTICLE"
2006	"OF EARPRINTS, FINGERPRINTS, SCENT DOGS, COT DEATHS AND COGNITIVE CONTAMINATION - A BRIEF LOOK AT THE PRESENT STATE OF PLAY IN THE FORENSIC ARENA"	"BROEDERS APA"	"DACTYLOSCOPY;  DNA ANALYSIS;  FORENSIC IDENTIFICATION;  INDIVIDUALIZATION;  INTERPRETATION OF EXPERT EVIDENCE"	"ARTICLE;  CANADA;  CONFUSION;  CRIMINAL JUSTICE;  DNA DETERMINATION;  FINGER DERMATOGLYPHICS;  FIREARM;  FORENSIC IDENTIFICATION;  HANDWRITING;  NETHERLANDS;  OFFENDER;  PRIORITY JOURNAL;  UNITED KINGDOM;  UNITED STATES;  VALIDATION PROCESS; ANIMALS;  CRIME;  DERMATOGLYPHICS;  DNA FINGERPRINTING;  DOGS;  EXPERT TESTIMONY;  FORENSIC SCIENCES;  HUMANS;  INFANT; NEWBORN;  SUDDEN INFANT DEATH"	"10.1016/j.forsciint.2004.11.028"	"FORENSIC SCIENCE INTERNATIONAL"	"DEPARTMENT OF CRIMINAL LAW AND CRIMINOLOGY, LEIDEN UNIVERSITY, NETHERLANDS FORENSIC INSTITUTE, THE HAGUE, NETHERLANDS"	"Scopus"	"ARTICLE"
2006	"SOLID-PHASE MICROEXTRACTION FOR GAS CHROMATOGRAPHIC/MASS SPECTROMETRIC ANALYSIS OF DIMETHOATE IN HUMAN BIOLOGICAL SAMPLES"	"GALLARDO E;BARROSO M;MARGALHO C;CRUZ A;VIEIRA DN;LPEZ-RIVADULLA M"	NA	"DIMETHOATE;  INSECTICIDE; ARTICLE;  BLOOD;  FORENSIC MEDICINE;  HUMAN;  MASS FRAGMENTOGRAPHY;  METHODOLOGY;  REPRODUCIBILITY;  URINE; DIMETHOATE;  GAS CHROMATOGRAPHY-MASS SPECTROMETRY;  HUMANS;  INSECTICIDES;  REPRODUCIBILITY OF RESULTS"	"10.1002/rcm.2388"	"RAPID COMMUNICATIONS IN MASS SPECTROMETRY"	"INSTITUTO DE MEDICINA LEGAL, SERVICIO DE TOXICOLOGA FORENSE, UNIVERSIDAD DE SANTIAGO DE COMPOSTELA, SAN FRANCISCO S/N, 15782 SANTIAGO DE COMPOSTELA, SPAIN;INSTITUTO NACIONAL DE MEDICINA LEGAL, DELEGAO DE COIMBRA, LARGO DA S NOVA, 3000-213 COIMBRA, PORTUGAL"	"Scopus"	"ARTICLE"
2006	"STUDIES ON THE FORMATION, TEMPORAL EVOLUTION AND FORENSIC APPLICATIONS OF CAMERA ``FINGERPRINTS''"	"KUPPUSWAMY R"	"CAMERA IDENTITY;  CRIMINALISTICS;  FILM-EDGE MARKS;  MASKING FRAME;  PHOTOGRAPHY RELATED EVIDENCE"	"ARTICLE;  CAMERA;  FILM;  FORENSIC SCIENCE;  ILLUMINATION;  PHOTOGRAPHY;  PRIORITY JOURNAL;  STEREOMICROSCOPY; CRIME;  DERMATOGLYPHICS;  FORENSIC PATHOLOGY;  HUMANS;  SIGNAL PROCESSING; COMPUTER-ASSISTED"	"10.1016/j.forsciint.2005.07.020"	"FORENSIC SCIENCE INTERNATIONAL"	"FORENSIC SCIENCE PROGRAMME, SCHOOL OF HEALTH SCIENCES, UNIVERSITI SAINS MALAYSIA, 16150 KUBANG KERIAN, KELANTAN, MALAYSIA"	"Scopus"	"ARTICLE"
2006	"SUBCUTANEOUS TRANSPORT OF EXTRAVASCULAR BLOOD"	"WINNEM AM;RANDEBERG LL;LARSEN ELP;LILLEDAHL MB;HAAVERSTAD R;HAUGEN OA;SKALLERUD B;SVAASAND LO"	"BLOOD;  FLUORESCENCE MEASUREMENTS;  HEMORRHAGE;  HYDRAULIC CONDUCTIVITY;  SKIN"	"FLUORESCENCE;  HYDRAULIC CONDUCTIVITY;  PHOTONS;  TISSUE; FLUORESCENCE MEASUREMENTS;  HEMORRHAGE;  SUBCUTANEOUS TRANSPORT; BLOOD"	"10.1117/12.645750"	"PROGRESS IN BIOMEDICAL OPTICS AND IMAGING - PROCEEDINGS OF SPIE"	"DEPT.OF ELECTRONICS AND TELECOMMUNICATIONS, NORWEGIAN UNIVERSITY OF SCIENCE AND TECHNOLOGY, O.S. BRAGSTADS PLASS 2A, 7034 TRONDHEIM, NORWAY;DEPT.OF CARDIOTHORACIC MEDICINE, TRONDHEIM UNIVERSITY HOSPITAL, HANS NISSENSGT 3, 7018 TRONDHEIM, NORWAY;DEPT.OF LABORATORY MEDICINE, CHILDREN'S AND WOMEN'S HEALTH, NORWEGIAN UNIVERSITY OF SCIENCE TECHNOLOGY, ST. OLAVS HOSPITAL HF, 7006 TRONDHEIM, NORWAY;DEPT. OF PATHOLOGY AND MEDICAL GENETICS, TRONDHEIM UNIVERSITY HOSPITAL, OLAV KYRRESGATE 17, 7006 TRONDHEIM, NORWAY;DEPT. OF STRUCTURAL ENGINEERING, NORWEGIAN UNIVERSITY OF SCIENCE AND TECHNOLOGY, R. BIRKELANDSVEI 1A, 7018 TRONDHEIM, NORWAY"	"Scopus"	"CONFERENCE MATERIAL"
2006	"SUBVALVULAR AORTIC STENOSIS AS A CAUSE OF SUDDEN DEATH: TWO CASE REPORTS"	"TURAN AA;GUVEN T;KARAYEL F;PAKIS I;GURPINAR K;OZASLAN A"	"HYPERTROPHIC CARDIOMYOPATHY;  SUBAORTIC STENOSIS;  SUBVALVULAR AORTIC STENOSIS;  SUDDEN CARDIAC DEATH"	"ADOLESCENT;  AORTA SUBVALVULAR STENOSIS;  ARTICLE;  AUTOPSY;  FEMALE;  FORENSIC PATHOLOGY;  HEART LEFT VENTRICLE WALL;  HEART VENTRICLE HYPERTROPHY;  HUMAN;  HYPERTROPHIC CARDIOMYOPATHY;  MALE;  MICROSCOPY;  SUDDEN DEATH;  AORTA VALVE;  CASE REPORT;  FIBROSIS;  HEART MUSCLE;  HEART VENTRICLE;  HEART VENTRICLE SEPTUM;  ORGAN SIZE;  PATHOLOGY; ADOLESCENT;  AORTIC STENOSIS; SUBVALVULAR;  AORTIC VALVE;  CARDIOMYOPATHY; HYPERTROPHIC;  DEATH; SUDDEN; CARDIAC;  HEART SEPTUM;  HEART VENTRICLES;  HUMANS;  MYOCARDIUM"	"10.1097/01.paf.0000203301.96511.f7"	"AMERICAN JOURNAL OF FORENSIC MEDICINE AND PATHOLOGY"	"COUNCIL OF FORENSIC MEDICINE, ISTANBUL, TURKEY;DEPARTMENT OF FORENSIC MEDICINE, CERRAHPASA MEDICAL FACULTY, UNIVERSITY OF ISTANBUL, ISTANBUL, TURKEY;COUNCIL OF FORENSIC MEDICINE, MORTUARY DEPARTMENT, ADLI TIP KURUMU BASKANLIGI, MORG IHTISAS DAIRESI, CERRAHPASA, TR 34246 ISTANBUL, TURKEY"	"Scopus"	"ARTICLE"
2006	"SUDDEN DEATH DUE TO GIANT CELL CORONARY ARTERITIS"	"KARGER B;FECHNER G"	NA	"CD68 ANTIGEN; AGED;  AORTA;  ARTICLE;  AUTOPSY;  CAROTID ARTERY;  CASE REPORT;  CELL INFILTRATION;  CELLULAR DISTRIBUTION;  CORONARY ARTERY;  FEMALE;  GIANT CELL;  GIANT CELL ARTERITIS;  HEART INFARCTION;  HUMAN;  INFLAMMATION;  LYMPHOCYTIC INFILTRATION;  MACROPHAGE;  PRIORITY JOURNAL;  SUDDEN DEATH; 80 AND OVER;  CORONARY VESSELS;  DEATH; SUDDEN;  FORENSIC PATHOLOGY;  GIANT CELLS;  HUMANS;  LYMPHOCYTES;  MACROPHAGES;  TEMPORAL ARTERITIS"	"10.1007/s00414-006-0090-1"	"INTERNATIONAL JOURNAL OF LEGAL MEDICINE"	"INSTITUTE OF LEGAL MEDICINE, UNIVERSITY OF MNSTER, RNTGENSTRASSE 23, 48149 MNSTER, GERMANY"	"Scopus"	"ARTICLE"
2006	"SUDDEN UNEXPECTED DEATH IN A CHILD WITH VARICELLA CAUSED BY NECROTIZING FASCIITIS AND STREPTOCOCCAL TOXIC SHOCK SYNDROME"	"HIDALGO-CARBALLAL A;SUREZ-MIER MP"	"COMPLICATIONS OF VARICELLA;  NECROTIZING FASCIITIS;  STREPTOCOCCAL TOXIC SHOCK SYNDROME;  SUDDEN UNEXPECTED DEATH IN CHILDREN"	"ARTICLE;  AUTOPSY;  BETA HEMOLYTIC STREPTOCOCCUS;  CHICKENPOX;  FORENSIC PATHOLOGY;  HISTOPATHOLOGY;  HUMAN;  MALE;  NECROTIZING FASCIITIS;  PRESCHOOL CHILD;  STREPTOCOCCUS INFECTION;  STREPTOCOCCUS PYOGENES;  SUDDEN DEATH;  TOXIC SHOCK SYNDROME;  ADRENAL GLAND;  BRAIN;  CASE REPORT;  ISOLATION AND PURIFICATION;  METABOLISM;  MICROBIOLOGY;  MUSCLE CELL;  NECROSIS;  NEUTROPHIL;  PATHOLOGY;  SEPTIC SHOCK;  THROMBOSIS;  VIROLOGY; ADRENAL GLANDS;  CHILD; PRESCHOOL;  DEATH; SUDDEN;  FASCIITIS; NECROTIZING;  HUMANS;  MUSCLE FIBERS;  NEUTROPHILS;  SHOCK; SEPTIC;  STREPTOCOCCAL INFECTIONS"	"10.1097/01.paf.0000203152.62134.1f"	"AMERICAN JOURNAL OF FORENSIC MEDICINE AND PATHOLOGY"	"INSTITUTE OF LEGAL MEDICINE OF ALBACETE, TARANCON, CUENCA, SPAIN;HISTOPATHOLOGY SERVICE, NATIONAL INSTITUTE OF TOXICOLOGY AND FORENSIC SCIENCES, MADRID, SPAIN;SERVICIO DE HISTOPATOLOGIA, INSTITUTO NACIONAL DE TOXICOLOGIA Y CIENCIAS FORENSES, LUIS CABRERA 9, 28002 MADRID, SPAIN"	"Scopus"	"ARTICLE"
2006	"THE EFFECT OF MYOCARDIAL BRIDGING ON THE INCIDENCE OF CORONARY ARTERIOSCLEROSIS [UTICAJ MIOKARDNIH MOSTOVA NA NASTANAK KORONARNE ARTERIOSKLEROZE.]"	"LUJINOVI A;OVCINA F;CIHLARZ Z;SELAK I;KULENOVI A"	NA	"ARTICLE;  CORONARY ARTERY ATHEROSCLEROSIS;  CORONARY BLOOD VESSEL;  FEMALE;  HEART MUSCLE;  HUMAN;  MALE;  PATHOLOGY; CORONARY ARTERIOSCLEROSIS;  CORONARY VESSELS;  ENGLISH ABSTRACT;  HUMANS;  MYOCARDIUM"	NA	"MEDICINSKI ARHIV."	"INSTITUT ZA ANATOMIJU PROF DR HAJRUDIN HADZISELIMOVI, MEDICINSKI FAKULTET, UNIVERZITETA U SARAJEVU."	"Scopus"	"ARTICLE"
2006	"THE FORENSIC ANALYSIS OF SOILS AND SEDIMENT TAKEN FROM THE CAST OF A FOOTPRINT"	"BULL PA;PARKER A;MORGAN RM"	"FOOTPRINT CAST;  FORENSIC GEOSCIENCE;  POLLEN;  SCANNING ELECTRON MICROSCOPY;  SOILS AND SEDIMENT"	"CARBON;  NITROGEN;  UNCLASSIFIED DRUG;  WATER; ADULT;  ARTICLE;  CASE REPORT;  CHEMICAL ANALYSIS;  CONTAMINATION;  DISTILLED WATER;  FEMALE;  FIBER;  FOOT;  FOOTPRINT ANALYSIS;  FORENSIC SCIENCE;  GAIT;  GEOGRAPHY;  HOMICIDE;  HUMAN;  IMAGE ANALYSIS;  MATERIALS;  PLASTER CAST;  PLOWING;  POLLEN ANALYSIS;  PRIORITY JOURNAL;  SCANNING ELECTRON MICROSCOPY;  SEDIMENT;  SHOE;  SOIL ANALYSIS;  STREAM (RIVER);  UNITED KINGDOM; CARBON;  FORENSIC MEDICINE;  HUMANS;  MALE;  MICROSCOPY;  MINERALS;  SHOES;  SOIL"	"10.1016/j.forsciint.2006.06.075"	"FORENSIC SCIENCE INTERNATIONAL"	"OXFORD UNIVERSITY CENTRE FOR THE ENVIRONMENT, SOUTH PARKS ROAD, OXFORD, OX1 3QY, UNITED KINGDOM;DEPARTMENT OF GEOGRAPHY, OXFORD BROOKES UNIVERSITY, HEADINGTON HILL, OXFORD, UNITED KINGDOM"	"Scopus"	"ARTICLE"
2006	"THE PATHOLOGY OF THE HEART CONDUCTION SYSTEM IN CONGENITAL HEART BLOCK"	"SUREZ-PEARANDA JM;MUOZ JI;RODRIGUEZ-CALVO MS;ORTZ-REY JA;CONCHEIRO L"	"ATRIOVENTRICULAR BLOCK;  CONGENITAL MALFORMATION;  HEART CONDUCTION SYSTEM"	"ADULT;  ARTICLE;  ARTIFICIAL HEART PACEMAKER;  AUTOPSY;  CASE REPORT;  CONGENITAL HEART BLOCK;  DEATH;  ENDOCARDITIS;  FAMILY HISTORY;  HEART ARRHYTHMIA;  HEART ATRIOVENTRICULAR NODE;  HEART HYPERTROPHY;  HEART MUSCLE CONDUCTION SYSTEM;  HEART VENTRICLE HYPERTROPHY;  HIS BUNDLE;  HISTOPATHOLOGY;  HUMAN;  INFLAMMATION;  MALE;  OUTCOME ASSESSMENT;  PROGNOSIS;  SEPTIC SHOCK;  SINUS NODE; AUTOPSY;  BUNDLE OF HIS;  DIAGNOSIS; DIFFERENTIAL;  FORENSIC MEDICINE;  HEART BLOCK;  HEART CONDUCTION SYSTEM;  HUMANS;  MIDDLE AGED"	"10.1016/j.jcfm.2006.06.010"	"JOURNAL OF CLINICAL FORENSIC MEDICINE"	"DEPARTMENT OF PATHOLOGY AND FORENSIC SCIENCES, UNIVERSITY OF SANTIAGO DE COMPOSTELA, SPAIN;DEPARTMENT OF PATHOLOGY, POVISA MEDICAL CENTER, VIGO, SPAIN"	"Scopus"	"ARTICLE"
2006	"THE ROLE OF MOLECULAR AUTOPSY IN UNEXPLAINED SUDDEN CARDIAC DEATH"	"TESTER DJ;ACKERMAN MJ"	"CATECHOLAMINERGIC POLYMORPHIC VENTRICULAR TACHYCARDIA;  DROWNING;  LONG QT SYNDROME;  NEGATIVE AUTOPSY;  SIDS;  SUDDEN DEATH"	"AORTA ANEURYSM;  ATHEROSCLEROSIS;  AUTOPSY;  CARDIOMYOPATHY;  CATECHOLAMINERGIC SYSTEM;  CAUSE OF DEATH;  CORONARY ARTERY ANOMALY;  DIAGNOSTIC ACCURACY;  EPIDEMIOLOGICAL DATA;  GENETIC ASSOCIATION;  GENETIC RISK;  GENETIC SCREENING;  HEART DISEASE;  HEART MUSCLE FIBER MEMBRANE;  HEART VENTRICLE TACHYCARDIA;  HUMAN;  LONG QT SYNDROME;  MEDICOLEGAL ASPECT;  MEMBRANE CHANNEL;  MUTAGENESIS;  MYOCARDITIS;  PRIORITY JOURNAL;  REVIEW;  STATISTICAL ANALYSIS;  SUDDEN DEATH;  SUDDEN INFANT DEATH SYNDROME;  VALVULAR HEART DISEASE; ADOLESCENT;  ADULT;  ARRHYTHMIA;  CHILD; PRESCHOOL;  DEATH; SUDDEN; CARDIAC;  FORENSIC PATHOLOGY;  HEART CONDUCTION SYSTEM;  HUMANS;  INFANT; NEWBORN;  MUTATION"	"10.1097/01.hco.0000221576.33501.83"	"CURRENT OPINION IN CARDIOLOGY"	"DEPARTMENTS OF MEDICINE, PEDIATRICS AND MOLECULAR PHARMACOLOGY, MAYO CLINIC COLLEGE OF MEDICINE, MAYO CLINIC, ROCHESTER, MN, UNITED STATES;SUDDEN DEATH GENOMICS LABORATORY, MAYO CLINIC COLLEGE OF MEDICINE, MAYO CLINIC, ROCHESTER, MN, UNITED STATES"	"Scopus"	"REVIEW"
2006	"THE TRANSFER AND PERSISTENCE OF TRACE PARTICULATES: EXPERIMENTAL STUDIES USING CLOTHING FABRICS"	"BULL PA;MORGAN RM;SAGOVSKY A;HUGHES GJA"	"FORENSIC SCIENCE;  LIGHTER FLINT PARTICLES;  PERSISTENCE;  POLLEN;  SEDIMENT;  TRANSFER"	"TRACE METAL; ARTICLE;  CLOTHING;  FORENSIC IDENTIFICATION;  HAIR TEXTURE;  PARTICULATE MATTER;  POLLEN ANALYSIS;  SCANNING ELECTRON MICROSCOPY;  SEDIMENT;  WOOL"	"10.1016/S1355-0306(06)71592-1"	"SCIENCE AND JUSTICE"	"OXFORD UNIVERSITY CENTRE FOR THE ENVIRONMENT, DYSON PERRINS BUILDING, SOUTH PARKS ROAD, OXFORD, OX1 3QY, UNITED KINGDOM"	"Scopus"	"ARTICLE"
