"PY"	"TI"	"AU"	"DEW"	"IDW"	"DES"	"IDS"	"DT"	"C1W"	"C1S"	"SO"	"Coder"	"DOI"	"DE"
1975	"MYOCARDIAL LESIONS IN SUDDEN, UNEXPECTED CORONARY DEATH"	"HAEREM JW"	""	""	""	"AUTOPSY;  DIAGNOSIS;  ETIOLOGY;  FATALITY;  FORENSIC MEDICINE;  HEART;  HEART ATRIOVENTRICULAR NODE;  HEART INFARCTION;  HEART MUSCLE CELL;  HEART MUSCLE FIBROSIS;  HEART VENTRICLE HYPERTROPHY;  HIS BUNDLE;  HISTOLOGY;  MAJOR CLINICAL STUDY;  SUDDEN DEATH; AGED;  AUTOPSY;  CORONARY DISEASE;  DEATH; SUDDEN;  FEMALE;  HEART CONDUCTION SYSTEM;  HUMAN;  MALE;  MIDDLE AGE;  MYOCARDIAL INFARCTION;  MYOCARDIUM;  ORGAN WEIGHT"	"ARTICLE"	""	"ULLEVAL HOSPITAL, DEPARTMENT OF PATHOLOGY, UNIVERSITY OF OLSO, OSLO, NORWAY"	"AMERICAN HEART JOURNAL"	"Scopus"	"10.1016/0002-8703(75)90218-5"	""
1984	"MYOGLOBIN LOSS AS THE 1ST LIGHT-MICROSCOPIC SIGN OF DAMAGE TO CARDIAC FIBER - AN INVESTIGATION OF 149 FORENSIC CASES OF OBDUCTION"	"KEIL W;ISHIYAMA I"	""	""	""	""	"ARTICLE"	"KEIL, W (CORRESPONDING AUTHOR), HUMBOLDT UNIV,BEREICH MED CHARITE,INST GERICHTLICHE MED,DDR-1040 BERLIN,GER DEM REP"	""	"DEUTSCHE GESUNDHEITSWESEN-ZEITSCHRIFT FUR KLINISCHE MEDIZIN"	"WebOfScience"	""	""
1966	"NAHSCHUZEICHEN AUF KUNSTFASERSTOFFEN UNTER BESONDERER BERCKSICHTIGUNG DER OBERFLCHENSTRUKTUR"	"JANSSEN W"	""	""	""	"ADULT;  ARTICLE;  CASE REPORT;  FORENSIC MEDICINE;  GUNSHOT INJURY;  HUMAN;  MALE;  TEXTILE; ADULT;  TEXTILES;  WOUNDS; GUNSHOT"	"ARTICLE"	""	"INSTITUT FR GERICHTLICHE MEDIZIN DER UNIVERSITT HEIDELBERG, GERMANY"	"DEUTSCHE ZEITSCHRIFT FUR DIE GESAMTE GERICHTLICHE MEDIZIN"	"Scopus"	"10.1007/BF00580417"	""
2014	"NANO-SCALE THERMO-MECHANICAL STRUCTURE-PROPERTY RELATIONSHIPS IN HUMAN DENTAL TISSUES STUDIED BY NANOINDENTATION AND SYNCHROTRON X-RAY SCATTERING"	"SUI T;SANDHOLZER MA;BOURHIS EL;BAIMPAS N;LANDINI G;KORSUNSKY AM"	""	""	"DENTAL TISSUE;  NANOINDENTATION;  SAXS/WAXS;  STRUCTURE-PROPERTY RELATIONS;  THERMAL-MECHANICAL"	"BIOLOGICAL MATERIALS;  BIOMECHANICS;  BIOMEDICAL ENGINEERING;  COLLAGEN;  CRYSTALLITE SIZE;  ENAMELS;  HISTOLOGY;  MECHANICAL PROPERTIES;  NANOINDENTATION;  NANOTECHNOLOGY;  STRUCTURAL PROPERTIES;  TISSUE;  X RAY SCATTERING; ARCHAEOLOGICAL INVESTIGATION;  DENTAL TISSUES;  DENTINE-ENAMEL JUNCTION;  MICROSTRUCTURAL ALTERATIONS;  SAXS/WAXS;  STRUCTURE PROPERTY RELATION;  SYNCHROTRON X-RAY SCATTERING;  THERMAL-MECHANICAL;  NANOMECHANICAL PROPERTY; TISSUE ENGINEERING"	"CONFERENCE MATERIAL"	""	"DEPARTMENT OF ENGINEERING SCIENCE, UNIVERSITY OF OXFORD, PARKS ROAD, OXFORD, UNITED KINGDOM;SCHOOL OF DENTISTRY, UNIVERSITY OF BIRMINGHAM, ST CHADS QUEENSWAY, BIRMINGHAM, UNITED KINGDOM;PHYMAT, CNRS UMR 6630, UNIVERSITY OF POITIERS, POITIERS, FRANCE"	"IFMBE PROCEEDINGS"	"Scopus"	"10.1007/978-3-319-02913-9_64"	"DENTAL TISSUE;  NANOINDENTATION;  SAXS/WAXS;  STRUCTURE-PROPERTY RELATIONS;  THERMAL-MECHANICAL"
2018	"NANOCARRIERS: A NOVEL APPROACH FOR ENHANCED DRUG DELIVERY THROUGH SKIN"	"RODE A;SHARMA S;MISHRA DK"	"LIPOSOME; NANOCARRIERS; NANOTECHNOLOGY; PROMISES CHALLENGES"	"TRANSDERMAL DELIVERY; VESICULAR CARRIER; LIPOSOMES; TRANSFERSOMES;; PHOSPHOLIPIDS; METABOLISM; ETHOSOMES; NIOSOMES; MICELLES; MOUSE"	"LIPOSOME;  NANOCARRIERS;  NANOTECHNOLOGY;  PROMISES CHALLENGES"	"AVELUMAB;  BETAMETHASONE DIPROPIONATE;  BRODALUMAB;  COBIMETINIB;  CRISABOROLE;  DALBAVANCIN;  DUPILUMAB;  ETHOSOME;  IXEKIZUMAB;  LIPOSOME;  LULICONAZOLE;  NANOCAPSULE;  NANOCARRIER;  NANOPARTICLE;  NANOSPHERE;  NIOSOME;  POLYMERIC MICELLE;  SECUKINUMAB;  TAVABOROLE;  TRAMETINIB;  TRANSFERSOME;  UNCLASSIFIED DRUG; BIOAVAILABILITY;  CHEMOTHERAPY;  DOSE CALCULATION;  DRUG DELIVERY SYSTEM;  DRUG FORMULATION;  DRUG PENETRATION;  DRUG RELEASE;  DRUG STABILITY;  DRUG TARGETING;  FOOD AND DRUG ADMINISTRATION;  MEDICATION COMPLIANCE;  NANOTECHNOLOGY;  NONHUMAN;  PARTICLE SIZE;  REVIEW;  RISK FACTOR;  SURFACE PROPERTY"	"REVIEW"	"RODE, A (CORRESPONDING AUTHOR), SCH PHARM \& TECHNOL MANAGEMENT, NMIMS, DEPT PHARM, SHIRPUR CAMPUS, DHULE 425405, MAHARASHTRA, INDIA; RODE, ANUJA; SHARMA, SANJAY; MISHRA, DINESH K, SCH PHARM \& TECHNOL MANAGEMENT, NMIMS, DEPT PHARM, SHIRPUR CAMPUS, DHULE 425405, MAHARASHTRA, INDIA"	"DEPARTMENT OF PHARMACY, NMIMS, SCHOOL OF PHARMACY AND TECHNOLOGY MANAGEMENT, SHIRPUR CAMPUS, DHULE, MAHARASHTRA  425 405, INDIA"	"ASIAN JOURNAL OF PHARMACEUTICS"	"Scopus,WebOfScience"	""	"LIPOSOME; NANOCARRIERS; NANOTECHNOLOGY; PROMISES CHALLENGES; LIPOSOME;  NANOCARRIERS;  NANOTECHNOLOGY;  PROMISES CHALLENGES"
2010	"NANOMANIPULATION-COUPLED NANOSPRAY MASS SPECTROMETRY APPLIED TO THE EXTRACTION AND ANALYSIS OF TRACE ANALYTES FOUND ON FIBERS"	"LEDBETTER NL;WALTON BL;DAVILA P;HOFFMANN WD;ERNEST RN;VERBECK IV GF;LEDBETTER NL;WALTON BL;DAVILA P;ERNEST RN;VERBECK IV GF"	"FORENSIC SCIENCE; NANOSPRAY; TRACE ANALYSIS; FIBER; NANOMANIPULATION; MASS SPECTROMETRY"	"SURFACE SAMPLING PROBE; EXPLOSIVES; CHROMATOGRAPHY; SECTIONS"	"FIBER;  FORENSIC SCIENCE;  MASS SPECTROMETRY;  NANOMANIPULATION;  NANOSPRAY;  TRACE ANALYSIS"	""	"ARTICLE"	"VERBECK, GF (CORRESPONDING AUTHOR), UNIV N TEXAS, DEPT CHEM, POB 305070, DENTON, TX 76203 USA; LEDBETTER, NICOLE L; DAVILA, PEDRO; HOFFMANN, WILLIAM D; VERBECK, GUIDO F, UNIV N TEXAS, DEPT CHEM, DENTON, TX 76203 USA; WALTON, BARBARA L, CENT CONNECTICUT STATE UNIV, DEPT CHEM \& BIOCHEM, NEW BRITAIN, CT 06050 USA; ERNEST, RICHARD N, UNIV N TEXAS, DEPT BIOL SCI, DENTON, TX 76203 USA"	"DEPARTMENT OF CHEMISTRY, UNIVERSITY OF NORTH TEXAS, 1155 UNION CIRCLE, #305070, DENTON, TX 76203, UNITED STATES;DEPARTMENT OF CHEMISTRY AND BIOCHEMISTRY, CENTRAL CONNECTICUT STATE UNIVERSITY, 1615 STANLEY ST., NEW BRITAIN, CT 06050, UNITED STATES;DEPARTMENT OF BIOLOGICAL SCIENCE, UNIVERSITY OF NORTH TEXAS, 1155 UNION CIRCLE, #305220, DENTON, TX 76203, UNITED STATES;UNIVERSITY OF NORTH TEXAS, DEPARTMENT OF CHEMISTRY, P.O. BOX 305070, DENTON, TX 76203, UNITED STATES"	"JOURNAL OF FORENSIC SCIENCES"	"Scopus,WebOfScience"	"10.1111/j.1556-4029.2010.01406.x"	"FORENSIC SCIENCE; NANOSPRAY; TRACE ANALYSIS; FIBER; NANOMANIPULATION; MASS SPECTROMETRY; FIBER;  FORENSIC SCIENCE;  MASS SPECTROMETRY;  NANOMANIPULATION;  NANOSPRAY;  TRACE ANALYSIS"
2016	"NANOSCALE ANALYSIS OF DEGRADATION PROCESSES OF CELLULOSE FIBERS"	"TEODONIO L;MISSORI M;PAWCENIS D;OJEWSKA J;VALLE F;TEODONIO L;MISSORI M;PAWCENIS J;VALLE F"	""	"ATOMIC-FORCE MICROSCOPY; PAPER; AFM; SEM"	""	"ATOMIC FORCE MICROSCOPY;  CELLULOSE;  CHARACTERIZATION;  MECHANICAL PROPERTIES;  NANOTECHNOLOGY;  NATURAL FIBERS;  TEXTILE FIBERS; CELLULOSE ADHESION;  CELLULOSE POLYMERIZATION;  CULTURAL HERITAGES;  DEGRADATION PROCESS;  LOCAL MECHANICAL PROPERTIES;  NANOMECHANICAL PROPERTY;  NANOSCALE ANALYSIS;  NANOSCALE CHARACTERIZATION; FIBERS; CELLULOSE;  CELLULOSE FIBERS;  DEGRADATION;  HUMIDITY;  MAPPING;  POLYMERIZATION;  TEMPERATURE;  GLASS;  NANOMATERIAL; ATOMIC FORCE MICROSCOPY;  CHEMISTRY;  SURFACE PROPERTY;  ULTRASTRUCTURE;  MICROSCOPY; ATOMIC FORCE;  NANOSTRUCTURES;  SURFACE PROPERTIES"	"ARTICLE"	"MISSORI, M (CORRESPONDING AUTHOR), CNR, INST COMPLEX SYST, PIAZZALE ALDO MORO 5, ROME, ITALY; VALLE, F (CORRESPONDING AUTHOR), CNR, IST STUDIO MAT NANOSTRUTTURATI, VIA GOBETTI 101, BOLOGNA, ITALY; TEODONIO, LORENZO, ITALIAN MINISTER CULTURAL HERITAGE \& TOURISM, ICRCPAL, VIA MILANO 76, ROME, ITALY; MISSORI, MAURO, CNR, INST COMPLEX SYST, PIAZZALE ALDO MORO 5, ROME, ITALY; PAWCENIS, DOMINIKA; LOJEWSKA, JOANNA, JAGIELLONIAN UNIV, FAC CHEM, INGARDENA 3, KRAKOW, POLAND; VALLE, FRANCESCO, CNR, IST STUDIO MAT NANOSTRUTTURATI, VIA GOBETTI 101, BOLOGNA, ITALY"	"ICRCPAL, ITALIAN MINISTER OF CULTURAL HERITAGE AND TOURISM, VIA MILANO 76, ROME, ITALY;CONSIGLIO NAZIONALE DELLE RICERCHE, INSTITUTE FOR COMPLEX SYSTEMS, PIAZZALE ALDO MORO 5, ROME, ITALY;FACULTY OF CHEMISTRY, JAGIELLONIAN UNIVERSITY, INGARDENA 3, KRAKW, POLAND;CONSIGLIO NAZIONALE DELLE RICERCHE, ISTITUTO PER LO STUDIO DEI MATERIALI NANOSTRUTTURATI, VIA GOBETTI 101, BOLOGNA, ITALY"	"MICRON"	"Scopus,WebOfScience"	"10.1016/j.micron.2016.07.013"	""
1976	"NECROPSY FINDINGS IN FATAL HYPOTHERMIA CASES"	"HIRVONEN J"	""	""	""	"AGE;  AUTOPSY;  FATALITY;  FREEZING;  HISTOLOGY;  HYPOTHERMIA;  INJURY;  MAJOR CLINICAL STUDY;  SEX DIFFERENCE;  SUICIDE; ADOLESCENT;  ADULT;  AGED;  CATECHOLAMINES;  ETHANOL;  FEMALE;  FORENSIC MEDICINE;  GASTRIC MUCOSA;  HISTAMINE;  HUMAN;  MALE;  MIDDLE AGE;  MYOCARDIUM;  SEROTONIN;  SKIN"	"ARTICLE"	""	"DEPARTMENT OF FORENSIC MEDICINE, UNIVERSITY OF OULU, 90220 OULU, 22, FINLAND, FINLAND"	"FORENSIC SCIENCE"	"Scopus"	"10.1016/0300-9432(76)90059-5"	""
2017	"NEUROGRAPHIC COURSE OF WALLERIAN DEGENERATION AFTER HUMAN PERIPHERAL NERVE INJURY"	"EDER M;SCHULTE-MATTLER W;POESCHL P"	"AXONAL LESION; NEUROGRAPHY; PERIPHERAL NERVE; TRAUMA; WALLERIAN; DEGENERATION"	"CONDUCTION; SECTION; FIBERS; MUSCLE"	""	""	"ARTICLE"	"POSCHL, P (CORRESPONDING AUTHOR), KRANKENHAUS BARMHERZIGE BRUDER REGENSBURG, DEPT NEUROL, PRUFENINGER STR 86, D-93049 REGENSBURG, GERMANY; POESCHL, PETER, KRANKENHAUS BARMHERZIGE BRUDER REGENSBURG, DEPT NEUROL, PRUFENINGER STR 86, D-93049 REGENSBURG, GERMANY; EDER, MARIA; SCHULTE-MATTLER, WILHELM, UNIV MED CTR REGENSBURG, DEPT NEUROL, REGENSBURG, GERMANY"	""	"MUSCLE AND NERVE"	"WebOfScience"	"10.1002/mus.25489"	"AXONAL LESION; NEUROGRAPHY; PERIPHERAL NERVE; TRAUMA; WALLERIAN; DEGENERATION"
2011	"NEUROLOGICAL, FUNCTIONAL, AND BIOMECHANICAL CHARACTERISTICS AFTER HIGH-VELOCITY BEHIND ARMOR BLUNT TRAUMA OF THE SPINE"	"ZHANG B;HUANG Y;SU Z;WANG S;WENG S;WANG J;WANG A;LAI X"	""	""	"BEHIND ARMOR BLUNT TRAUMA;  COGNITIVE DYSFUNCTION;  DISTANT EFFECT;  EEG;  HIGH-VELOCITY"	"MYELIN BASIC PROTEIN;  NEURON SPECIFIC ENOLASE;  POLYETHYLENE;  PROTEIN S100B; ANIMAL EXPERIMENT;  ANIMAL MODEL;  ARTICLE;  BEHIND ARMOR BLUNT TRAUMA;  BIOMECHANICS;  BLUNT TRAUMA;  BODY ARMOR;  BRAIN TISSUE;  CEREBROSPINAL FLUID;  COGNITIVE DEFECT;  COMMON CAROTID ARTERY;  CONTROLLED STUDY;  DEMYELINATION;  ELECTROENCEPHALOGRAM;  ELECTRON MICROSCOPY;  ENZYME LINKED IMMUNOSORBENT ASSAY;  EXPERIMENTAL PIG;  NERVE CELL DEGENERATION;  NONHUMAN;  PARALYSIS;  PRIORITY JOURNAL;  PROTEIN CEREBROSPINAL FLUID LEVEL;  PROTEIN EXPRESSION;  SPINAL CORD;  SPINE INJURY;  VELOCITY; ANALYSIS OF VARIANCE;  ANIMALS;  BIOLOGICAL MARKERS;  COGNITION DISORDERS;  DISEASE MODELS; ANIMAL;  ELECTROENCEPHALOGRAPHY;  FORENSIC BALLISTICS;  IMMUNOHISTOCHEMISTRY;  INJURY SEVERITY SCORE;  LINEAR MODELS;  MICROSCOPY; ELECTRON;  MOTOR SKILLS;  MYELIN BASIC PROTEINS;  NEUROLOGIC EXAMINATION;  PHOSPHOPYRUVATE HYDRATASE;  PROTECTIVE CLOTHING;  RANDOM ALLOCATION;  REFERENCE VALUES;  SPINAL INJURIES;  SUS SCROFA;  SWINE;  WOUNDS; GUNSHOT; NONPENETRATING"	"ARTICLE"	""	"6TH DEPARTMENT OF RESEARCH INSTITUTE OF SURGERY, DAPING HOSPITAL, THIRD MILITARY MEDICAL UNIVERSITY, CHONGQING 400042, CHINA;DEPARTMENT OF ORTHOPEDICS, DAPING HOSPITAL, THIRD MILITARY MEDICAL UNIVERSITY, CHONGQING 400042, CHINA;STATE KEY LABORATORY OF TRAUMA, DAPING HOSPITAL, THIRD MILITARY MEDICAL UNIVERSITY, CHONGQING, CHINA"	"JOURNAL OF TRAUMA - INJURY, INFECTION AND CRITICAL CARE"	"Scopus"	"10.1097/TA.0b013e318231bce7"	"BEHIND ARMOR BLUNT TRAUMA;  COGNITIVE DYSFUNCTION;  DISTANT EFFECT;  EEG;  HIGH-VELOCITY"
2001	"NEUROPATHOLOGICAL FINDINGS ASSOCIATED WITH RETAINED LEAD SHOT PELLETS IN A MAN SURVIVING TWO MONTHS AFTER A SUICIDE ATTEMPT"	"MALANDRINI A;VILLANOVA M;SALVADORI C;GAMBELLI S;BERTI G;DI PAOLO M"	""	""	"AUTOPSY;  AXONAL DAMAGE;  DEATH;  FORENSIC PATHOLOGY;  FORENSIC SCIENCE;  LEAD SHOT PELLETS;  NEUROPATHOLOGY;  SHOTGUN;  WOUND"	"ALPHA CRYSTALLIN;  AMYLOID PRECURSOR PROTEIN;  LEAD;  NEUROFILAMENT PROTEIN; ANTIGEN ANTIBODY REACTION;  ARTICLE;  ASTROCYTOSIS;  CASE REPORT;  FORENSIC IDENTIFICATION;  GUNSHOT INJURY;  HISTOPATHOLOGY;  HUMAN;  IMMUNOHISTOCHEMISTRY;  LEUKOCYTE ACTIVATION;  MACROPHAGE;  MALE;  NERVE FIBER DEGENERATION;  NEUROPATHOLOGY;  PRIORITY JOURNAL;  SPHEROCYTOSIS;  SUICIDE ATTEMPT"	"ARTICLE"	""	"LABORATORY OF NEMOPATHOLOGY, INSTITUTE OF NEUROLOGICAL SCIENCES, UNIVERSITY OF SIENA, SIENA, ITALY;LABORATORY OF NEUROMUSCULAR PATHOLOGY, RIZZOLI HOSPITAL, BOLOGNA, ITALY;INSTITUTE OF LEGAL MEDICINE, UNIVERSITY OF SIENA, SIENA, ITALY"	"JOURNAL OF FORENSIC SCIENCES"	"Scopus"	"10.1520/jfs15029j"	"AUTOPSY;  AXONAL DAMAGE;  DEATH;  FORENSIC PATHOLOGY;  FORENSIC SCIENCE;  LEAD SHOT PELLETS;  NEUROPATHOLOGY;  SHOTGUN;  WOUND"
2013	"NEURORADIOLOGICAL ADVANCES DETECT ABNORMAL NEUROANATOMY UNDERLYING NEUROPSYCHOLOGICAL IMPAIRMENTS: THE POWER OF PET IMAGING"	"HAYEMPOUR BJ;ALAVI A"	""	""	"BRAIN BEHAVIOR;  NEUROETHICS;  NEUROIMAGING;  NEUROPSYCHIATRY;  PET IMAGING"	"ANTERIOR CINGULATE;  BEHAVIOR CHANGE;  BRAIN BLOOD FLOW;  BRAIN ISCHEMIA;  BRAIN PERFUSION;  BRAIN REGION;  CINGULATE GYRUS;  CLINICAL EFFECTIVENESS;  COGNITIVE DEFECT;  COURT;  CRIMINAL BEHAVIOR;  CRIMINAL JUSTICE;  CRIMINAL LAW;  DECISION MAKING;  EXECUTIVE FUNCTION;  EXPERT WITNESS;  FORENSIC PSYCHIATRY;  FRONTAL LOBE;  FUNCTIONAL NEUROIMAGING;  GLUCOSE METABOLISM;  GLUCOSE TRANSPORT;  HEALTH CARE SYSTEM;  HUMAN;  LINGUAL GYRUS;  MEDICAL PRACTICE;  NERVE FIBER DEGENERATION;  NEUROANATOMY;  NUCLEAR MAGNETIC RESONANCE IMAGING;  PET SCANNER;  POSITRON EMISSION TOMOGRAPHY;  POSTERIOR CINGULATE;  PREFRONTAL CORTEX;  REVIEW;  SINGLE PHOTON EMISSION COMPUTER TOMOGRAPHY;  SOCIAL ISOLATION;  TEMPORAL LOBE;  THALAMUS;  TRAUMATIC BRAIN INJURY;  WHITE MATTER; BRAIN DISEASES;  HUMANS;  NEUROPSYCHIATRY;  POSITRON-EMISSION TOMOGRAPHY;  SOCIAL BEHAVIOR DISORDERS"	"REVIEW"	""	"INSTITUTE OF NEUROLOGICAL SCIENCES, DEPARTMENT OF RADIOLOGY, HOSPITAL OF THE UNIVERSITY OF PENNSYLVANIA, 3400 SPRUCE STREET, PHILADELPHIA, PA 19104, UNITED STATES"	"EUROPEAN JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING"	"Scopus"	"10.1007/s00259-013-2401-3"	"BRAIN BEHAVIOR;  NEUROETHICS;  NEUROIMAGING;  NEUROPSYCHIATRY;  PET IMAGING"
2001	"NEW APPLICATIONS OF FTIR MICRO-SPECTROSCOPY IN THE FIELD OF FORENSIC SCIENCE"	"MA H;HUANG Y;LEI H;MA HC;HUANG Y;LEI H"	"FTIR MICRO-SPECTROSCOPY; FORENSIC SCIENCE"	"ACRYLIC FIBERS; IDENTIFICATION; IR; CLASSIFICATION; SPECTRA"	"FORENSIC SCIENCE;  FTIR MICRO-SPECTROSCOPY"	"COLORING AGENT;  PAINT;  RODENTICIDE; ARTICLE;  FORENSIC SCIENCE;  INFRARED SPECTROSCOPY;  METHODOLOGY; COLORING AGENTS;  FORENSIC SCIENCES;  RODENTICIDES;  SPECTROSCOPY; FOURIER TRANSFORM INFRARED"	"ARTICLE"	"MA, HC (CORRESPONDING AUTHOR), PUBL SECUR BUR HENAN PROVINCE, ZHENGZHOU 450003, PEOPLES R CHINA; PUBL SECUR BUR HENAN PROVINCE, ZHENGZHOU 450003, PEOPLES R CHINA; BEIJING SHIMADZU SCI INSTRUMENTS \& EQUIPMENT CTR, BEIJING 100029, PEOPLES R CHINA"	"PUB. SECTY. BUREAU OF HENAN PROVINCE, 450003 ZHENGZHOU, CHINA;BEIJING SHIMADZU SCI. INSTRUM. E., 100029 BEIJING, CHINA"	"GUANG PU XUE YU GUANG PU FEN XI/SPECTROSCOPY AND SPECTRAL ANALYSIS;SPECTROSCOPY AND SPECTRAL ANALYSIS"	"Scopus,WebOfScience"	""	"FTIR MICRO-SPECTROSCOPY; FORENSIC SCIENCE; FORENSIC SCIENCE;  FTIR MICRO-SPECTROSCOPY"
2012	"NEW APPROACH TO TESTING MICROTRACES"	"MACCHOV K;ZICHA J"	""	""	"COLORIMETRY;  FIBER;  IMAGING;  INTEGRATING SPHERE;  MICROTRACES"	"FORENSIC APPLICATIONS;  INTEGRATING SPHERES;  MATERIAL PROPERTY;  MICROTRACES;  NONDESTRUCTIVE METHODS;  SPECTROSCOPIC MEASUREMENTS;  TESTING METHOD; COLORIMETRY;  FIBERS;  IMAGING TECHNIQUES;  NONDESTRUCTIVE EXAMINATION; COLOR"	"ARTICLE"	""	"CZECH TECHNICAL UNIVERSITY IN PRAGUE, FACULTY OF MECHANICAL ENGINEERING, DEPARTMENT OF INSTRUMENTATION AND CONTROL ENGINEERING, DIVISION OF PRECISION MECHANICS AND OPTICS, TECHNICK 4, PRAGUE, CZECH REPUBLIC"	"ROMANIAN REVIEW PRECISION MECHANICS, OPTICS AND MECHATRONICS"	"Scopus"	""	"COLORIMETRY;  FIBER;  IMAGING;  INTEGRATING SPHERE;  MICROTRACES"
2003	"NEW DEVELOPMENTS IN SPME, PART 1: THE USE OF VAPOR-PHASE DEPROTONATION AND ON-FIBER DERIVATIZATION WITH ALKYLCHLOROFORMATES IN THE ANALYSIS OF PREPARATIONS CONTAINING AMPHETAMINES"	"BROWN H;KIRKBRIDE KP;PIGOU PE;WALKER GS"	"FORENSIC SCIENCE; SPME; AMPHETAMINE-TYPE DRUGS; ON-FIBER DERIVATIZATION; DRUG PROFILING; DRUG INTELLIGENCE; CHLOROFORMATES"	"PERFORMANCE LIQUID-CHROMATOGRAPHY; GAS-CHROMATOGRAPHY;; PENTAFLUOROBENZOYL CHLORIDE; FLUORESCENCE DETECTION; AQUEOUS SAMPLES;; MICROEXTRACTION; METHAMPHETAMINE; 4-METHOXYAMPHETAMINE; CHLOROFORMATE;; ACYLATION"	"AMPHETAMINE-TYPE DRUGS;  CHLOROFORMATES;  DRUG INTELLIGENCE;  DRUG PROFILING;  FORENSIC SCIENCE;  ON-FIBER DERIVATIZATION;  SPME"	"ACETONE;  AMPHETAMINE DERIVATIVE;  CARBAMIC ACID DERIVATIVE;  CHLOROFORM;  CHLOROFORMIC ACID ETHYL ESTER;  DIMETAMFETAMINE;  MENTHYL CHLOROFORMATE;  METHAMPHETAMINE;  N BUTYL CHLOROFORMATE;  N ETHYL N METHYLAMPHETAMINE;  PHENYL 2 PROPANONE;  PSEUDOEPHEDRINE;  TRIETHYLAMINE;  UNCLASSIFIED DRUG;  URETHAN DERIVATIVE; ARTICLE;  DERIVATIZATION;  DISSOLUTION;  DRUG ISOLATION;  ENANTIOMER;  FORENSIC SCIENCE;  GAS CHROMATOGRAPHY;  GLOVE;  MASS SPECTROMETRY;  PRIORITY JOURNAL;  PROTON TRANSPORT;  QUALITATIVE ANALYSIS;  SOLID PHASE MICROEXTRACTION;  VAPOR"	"ARTICLE"	"BROWN, H (CORRESPONDING AUTHOR), FLINDERS UNIV S AUSTRALIA, GPO BOX 2100, ADELAIDE, SA 5001, AUSTRALIA; FLINDERS UNIV S AUSTRALIA, ADELAIDE, SA 5001, AUSTRALIA; FORENS SCI S AUSTRALIA, ADELAIDE, SA, AUSTRALIA"	"FLINDERS UNIV. OF SOUTH AUSTRALIA, GPO BOX 2100, ADELAIDE, SA, AUSTRALIA;FORENSIC SCIENCE, SOUTH AUSTRALIA, 21 DIVETT PLACE, ADELAIDE, SA, AUSTRALIA;FORENSIC SCIENCE, SA, FORENSIC SCIENCE CENTRE, 21 DIVETT PLACE, ADELAIDE, SA 5000, AUSTRALIA"	"JOURNAL OF FORENSIC SCIENCES"	"Scopus,WebOfScience"	"10.1520/jfs2003117"	"FORENSIC SCIENCE; SPME; AMPHETAMINE-TYPE DRUGS; ON-FIBER DERIVATIZATION; DRUG PROFILING; DRUG INTELLIGENCE; CHLOROFORMATES; AMPHETAMINE-TYPE DRUGS;  CHLOROFORMATES;  DRUG INTELLIGENCE;  DRUG PROFILING;  FORENSIC SCIENCE;  ON-FIBER DERIVATIZATION;  SPME"
2014	"NEW EUROPEAN ROPE TEST FACILITY"	"RIDGE IML;FLORY JF;BANFIELD SJ"	"ROPE; FIBER; FIBRE; WIRE; CABLE; CHAIN; TEST; BEND; TORSION; ABRASION; DESIGN; ANALYSIS; FORENSIC"	""	""	""	"PROCEEDINGS PAPER"	"RIDGE, IML (CORRESPONDING AUTHOR), TTI TESTING, WALLINGFORD, OXON, ENGLAND; RIDGE, ISABEL M L, TTI TESTING, WALLINGFORD, OXON, ENGLAND; FLORY, JOHN F, TENS TECHNOL INT, MORRISTOWN, NJ USA; BANFIELD, STEVEN J, TENS TECHNOL INT LTD, EASTBOURNE, E SUSSEX, ENGLAND"	""	"2014 OCEANS - ST. JOHN'S, OCEANS 2014"	"WebOfScience"	""	"ROPE; FIBER; FIBRE; WIRE; CABLE; CHAIN; TEST; BEND; TORSION; ABRASION; DESIGN; ANALYSIS; FORENSIC"
2015	"NEW EUROPEAN ROPE TEST FACILITY"	"RIDGE IML;FLORY JF;BANFIELD SJ"	""	""	"ABRASION;  ANALYSIS;  BEND;  CABLE;  CHAIN;  DESIGN;  FIBER;  FIBRE;  FORENSIC;  ROPE;  TEST;  TORSION;  WIRE"	"ABRASION;  CABLES;  CHAINS;  DESIGN;  EQUIPMENT TESTING;  FIBERS;  LABORATORIES;  ROPE;  SOFTWARE TESTING;  TESTING;  THALLIUM ALLOYS;  TORSIONAL STRESS;  WIRE; ANALYSIS;  APPLICATION SPECIFIC;  BEND;  CONSULTANCY FIRMS;  ECONOMICAL OPERATION;  FORENSIC;  TESTING LABORATORIES;  TESTING PROGRAMS; WIRE ROPE"	"CONFERENCE MATERIAL"	""	"TTI TESTING, WALLINGFORD, OXFORDSHIRE, UNITED KINGDOM;TENSION TECHNOLOGY INTERNATIONAL, MORRISTOWN, NJ, UNITED STATES;TENSION TECHNOLOGY INTERNATIONAL, LTD., EASTBOURNE, EAST SUSSEX, UNITED KINGDOM"	"2014 OCEANS - ST. JOHN'S, OCEANS 2014"	"Scopus"	"10.1109/OCEANS.2014.7003002"	"ABRASION;  ANALYSIS;  BEND;  CABLE;  CHAIN;  DESIGN;  FIBER;  FIBRE;  FORENSIC;  ROPE;  TEST;  TORSION;  WIRE"
