"TI"	"PY"	"AU"	"DEW"	"IDW"	"DES"	"IDS"	"C1W"	"C1"	"C1S"	"DOI"	"SO"	"DT"	"Coder"	"DE"
"HISTOPATHOLOGICAL STUDY OF CARDIAC LESIONS IN METHAMPHETAMINE POISONING-RELATED DEATHS"	2017	"AKHGARI M;MOBARAKI H;ETEMADI-ALEAGHA A"	"METHAMPHETAMINE POISONING-RELATED DEATH; CARDIAC HISTOPATHOLOGY; FORENSIC TOXICOLOGY; FORENSIC PATHOLOGY; FORENSIC MEDICINE"	"DRUG; ATHEROSCLEROSIS; CARDIOMYOPATHY; COMPLICATIONS; ENDOCARDITIS;; NECROSIS; CYP2D6; ABUSE"	"CARDIAC HISTOPATHOLOGY;  FORENSIC MEDICINE;  FORENSIC PATHOLOGY;  FORENSIC TOXICOLOGY;  METHAMPHETAMINE POISONING-RELATED DEATH"	"AMPHETAMINE;METHAMPHETAMINE;ACUTE HEART INFARCTION;ADULT;ARTICLE;ATHEROSCLEROSIS;AUTOPSY;CARDIOTOXICITY;CAUSE OF DEATH;CONGESTIVE CARDIOMYOPATHY;CONTROLLED STUDY;DEGENERATION;FEMALE;FORENSIC PATHOLOGY;FORENSIC TOXICOLOGY;HEART MUSCLE FIBROSIS;HEART MUSCLE NECROSIS;HEART VENTRICLE HYPERTROPHY;HIGH PERFORMANCE LIQUID CHROMATOGRAPHY;HISTOPATHOLOGY;HUMAN;HUMAN TISSUE;INTOXICATION;MAJOR CLINICAL STUDY;MALE;MASS FRAGMENTOGRAPHY;STOMACH CONTENT;THIN LAYER CHROMATOGRAPHY;URINALYSIS;CARDIAC MUSCLE;DRUG DEPENDENCE;EPIDEMIOLOGY;IRAN;MORTALITY;PATHOLOGY;YOUNG ADULT;HUMANS;MYOCARDIUM;SUBSTANCE-RELATED DISORDERS"	"AKHGARI, M (CORRESPONDING AUTHOR), LEGAL MED ORG, DEPT FORENS TOXICOL, LEGAL MED RES CTR, OLD GHOM RD 500, TEHRAN 1816153141, IRAN; AKHGARI, MARYAM, LEGAL MED ORG, DEPT FORENS TOXICOL, LEGAL MED RES CTR, OLD GHOM RD 500, TEHRAN 1816153141, IRAN; MOBARAKI, HOMEIRA, LEGAL MED ORG, DEPT FORENS PATHOL, LEGAL MED RES CTR, TEHRAN, IRAN; ETEMADI-ALEAGHA, AFSHAR, TEHRAN UNIV MED SCI, AMIR ALAM HOSP, TEHRAN, IRAN"	"DEPARTMENT OF FORENSIC TOXICOLOGY,LEGAL MEDICINE RESEARCH CENTER,LEGAL MEDICINE ORGANIZATION,OLD GHOM ROAD,500 METERS AFTER BEHESTE ZAHRA,TEHRAN,1816153141,IRAN; DEPARTMENT OF FORENSIC PATHOLOGY,IRAN; TEHRAN UNIVERSITY OF MEDICAL SCIENCES (TUMS),AMIR ALAM HOSPITAL,IRAN"	"DEPARTMENT OF FORENSIC TOXICOLOGY,LEGAL MEDICINE RESEARCH CENTER,LEGAL MEDICINE ORGANIZATION,OLD GHOM ROAD,500 METERS AFTER BEHESTE ZAHRA,TEHRAN,1816153141,IRAN; DEPARTMENT OF FORENSIC PATHOLOGY,IRAN; TEHRAN UNIVERSITY OF MEDICAL SCIENCES (TUMS),AMIR ALAM HOSPITAL,IRAN"	"10.1186/s40199-017-0170-4"	"DARU JOURNAL OF PHARMACEUTICAL SCIENCES"	"ARTICLE"	"Scopus,WebOfScience"	"METHAMPHETAMINE POISONING-RELATED DEATH;CARDIAC HISTOPATHOLOGY;FORENSIC TOXICOLOGY;FORENSIC PATHOLOGY;FORENSIC MEDICINE"
"HISTOPATHOLOGY OF EARLY MYOCARDIAL INFARCTS. A NEW APPROACH"	1974	"BOUCHARDY B;MAJNO G"	""	""	""	"AUTOPSY;DIAGNOSIS;FATALITY;FORENSIC MEDICINE;HEART INFARCTION;HEART MUSCLE CELL;HISTOLOGY;SUDDEN DEATH;AUTOLYSIS;CELL NUCLEUS;CELL SURVIVAL;CORONARY CIRCULATION;HISTOLOGICAL TECHNIQUES;HUMAN;INCLUSION BODIES;MYOCARDIAL INFARCTION;MYOCARDIUM;MYOFIBRILS;RIGOR MORTIS;TIME FACTORS"	NA	"DEPT. PATHOL.,UNIV. GENEVA FAC. MED.,GENEVA,SWITZERLAND"	"DEPT. PATHOL.,UNIV. GENEVA FAC. MED.,GENEVA,SWITZERLAND"	""	"AMERICAN JOURNAL OF PATHOLOGY"	"ARTICLE"	"Scopus"	""
"HISTOPATHOLOGY OF THE CONDUCTION SYSTEM IN THE SUDDEN INFANT DEATH SYNDROME"	1976	"LIE JT;ROSENBERG HS;ERICKSON EE"	""	""	""	"AUTOPSY;CHILD;ETIOLOGY;FORENSIC MEDICINE;HEART MUSCLE CONDUCTION SYSTEM;HIS BUNDLE;HISTOLOGY"	NA	"DEPT. PATHOL.,BAYLOR COLL. MED.,HOUSTON,TEX.,UNITED STATES"	"DEPT. PATHOL.,BAYLOR COLL. MED.,HOUSTON,TEX.,UNITED STATES"	"10.1161/01.CIR.53.1.3"	"CIRCULATION"	"ARTICLE"	"Scopus"	""
"HOLLOW-FIBER FLOW FIELD-FLOW FRACTIONATION FOR MASS SPECTROMETRY: FROM PROTEINS TO WHOLE BACTERIA"	2010	"RESCHIGLIAN P;ZATTONI A;RAMBALDI DC;RODA A;MOON MH"	"FIELD-FLOW FRACTIONATION; HOLLOW-FIBER FLOW FIELD-FLOW FRACTIONATION; MASS SPECTROMETRY; PROTEOMICS BACTERIA IDENTIFICATION; FORENSIC ANALYSIS"	"MICROORGANISM IDENTIFICATION; 2-DIMENSIONAL ELECTROPHORESIS; POLYSTYRENE; SULFONATES; IONIC-STRENGTH; CELLS; SEPARATION; PERFORMANCE; PROTEOMICS;; RESOLUTION; RETENTION"	""	""	"RESCHIGLIAN, P (CORRESPONDING AUTHOR), DEPT CHEM G CIAMICIAN, VIA SELMI 2, I-40126 BOLOGNA, ITALY; RESCHIGLIAN, PIERLUIGI; ZATTONI, ANDREA; RAMBALDI, DIANA CRISTINA, DEPT CHEM G CIAMICIAN, VIA SELMI 2, I-40126 BOLOGNA, ITALY; RESCHIGLIAN, PIERLUIGI; ZATTONI, ANDREA; RAMBALDI, DIANA CRISTINA; RODA, ALDO, I N B B CONSORTIUM, ROME, ITALY; RODA, ALDO, DEPT PHARMACEUT SCI, BOLOGNA, ITALY; MOON, MYEONG HEE, YONSEI UNIV, DEPT CHEM, SEOUL 120749, SOUTH KOREA"	"RESCHIGLIAN, P (CORRESPONDING AUTHOR), DEPT CHEM G CIAMICIAN, VIA SELMI 2, I-40126 BOLOGNA, ITALY; RESCHIGLIAN, PIERLUIGI; ZATTONI, ANDREA; RAMBALDI, DIANA CRISTINA, DEPT CHEM G CIAMICIAN, VIA SELMI 2, I-40126 BOLOGNA, ITALY; RESCHIGLIAN, PIERLUIGI; ZATTONI, ANDREA; RAMBALDI, DIANA CRISTINA; RODA, ALDO, I N B B CONSORTIUM, ROME, ITALY; RODA, ALDO, DEPT PHARMACEUT SCI, BOLOGNA, ITALY; MOON, MYEONG HEE, YONSEI UNIV, DEPT CHEM, SEOUL 120749, SOUTH KOREA"	NA	"10.1007/978-90-481-9815-3\_2"	"DETECTION OF BIOLOGICAL AGENTS FOR THE PREVENTION OF BIOTERRORISM"	"PROCEEDINGS"	"WebOfScience"	"FIELD-FLOW FRACTIONATION;HOLLOW-FIBER FLOW FIELD-FLOW FRACTIONATION;MASS SPECTROMETRY;PROTEOMICS BACTERIA IDENTIFICATION;FORENSIC ANALYSIS"
"HOLLOW-FIBER FLOW FIELD-FLOW FRACTIONATION FOR MASS SPECTROMETRY: FROM PROTEINS TO WHOLE BACTERIA"	2011	"RESCHIGLIAN P;ZATTONI A;RAMBALDI DC;RODA A;HEE MOON M"	""	""	"FIELD-FLOW FRACTIONATION;  FORENSIC ANALYSIS;  HOLLOW-FIBER FLOW FIELD-FLOW FRACTIONATION;  MASS SPECTROMETRY;  PROTEOMICS BACTERIA IDENTIFICATION"	"BACTERIA (MICROORGANISMS)"	NA	"DEPARTMENT OF CHEMISTRY,G. CIAMICIAN,VIA SELMI 2,BOLOGNA 40126,ITALY; I.N.B.B. CONSORTIUM,ROME,ITALY; DEPARTMENT OF PHARMACEUTICAL SCIENCE,VIA BELMELORO 6,ITALY; DEPARTMENT OF CHEMISTRY,YONSEI UNIVERSITY,SEOUL,SOUTH KOREA"	"DEPARTMENT OF CHEMISTRY,G. CIAMICIAN,VIA SELMI 2,BOLOGNA 40126,ITALY; I.N.B.B. CONSORTIUM,ROME,ITALY; DEPARTMENT OF PHARMACEUTICAL SCIENCE,VIA BELMELORO 6,ITALY; DEPARTMENT OF CHEMISTRY,YONSEI UNIVERSITY,SEOUL,SOUTH KOREA"	"10.1007/978-90-481-9815-3_2"	"NATO SCIENCE FOR PEACE AND SECURITY SERIES A: CHEMISTRY AND BIOLOGY"	"CONFERENCE PAPER"	"Scopus"	";FIELD-FLOW FRACTIONATION;FORENSIC ANALYSIS;HOLLOW-FIBER FLOW FIELD-FLOW FRACTIONATION;MASS SPECTROMETRY;PROTEOMICS BACTERIA IDENTIFICATION"
"HOLLOW FIBER-LIQUID PHASE MICROEXTRACTION OF BARBITURATES IN LIVER SAMPLES"	2013	"MENCK RA;DE OLIVEIRA CDR;DE LIMA DS;GOES LE;LEYTON V;PASQUALUCCI CAG;MUOZ DR;YONAMINE M"	""	""	"BARBITURATES;  GC-MS;  HOLLOW FIBER-LIQUID PHASE MICROEXTRACTION (HF-LPME);  PHENOBARBITAL;  SECOBARBITAL;  TISSUE (LIVER) SAMPLES"	"BUTALBITAL;EUCALYPTUS OIL;PENTOBARBITAL;PHENOBARBITAL;PHENYLTRIMETHYLAMMONIUM;SECOBARBITAL;SODIUM HYDROXIDE;AQUEOUS SOLUTION;COMPOSITE MATERIAL;CONFERENCE PAPER;CONTROLLED STUDY;DRUG DETERMINATION;DRUG EXPOSURE;DRUG ISOLATION;DRUG STRUCTURE;GREEN CHEMISTRY;HOLLOW FIBER;HOLLOW FIBER LIQUID PHASE MICROEXTRACTION;HUMAN;HUMAN TISSUE;LIQUID MEMBRANE;LIQUID PHASE MICROEXTRACTION;LIVER EXAMINATION;LIVER SAMPLE;MASS FRAGMENTOGRAPHY;PRIORITY JOURNAL;SAMPLING;VALIDATION STUDY;EUCALYPTUS"	NA	"FACULTY OF PHARMACEUTICAL SCIENCES,UNIVERSITY OF SO PAULO,AV. PROFESSOR LINEU PRESTES,580 13B,CEP 05508-000 SO PAULO SP,BRAZIL; FACULTY OF MEDICINE,SO PAULO,BRAZIL; DEATH VERIFICATION SERVICE,BRAZIL"	"FACULTY OF PHARMACEUTICAL SCIENCES,UNIVERSITY OF SO PAULO,AV. PROFESSOR LINEU PRESTES,580 13B,CEP 05508-000 SO PAULO SP,BRAZIL; FACULTY OF MEDICINE,SO PAULO,BRAZIL; DEATH VERIFICATION SERVICE,BRAZIL"	"10.1007/s11419-012-0160-7"	"FORENSIC TOXICOLOGY"	"CONFERENCE PAPER"	"Scopus"	";BARBITURATES;GC-MS;HOLLOW FIBER-LIQUID PHASE MICROEXTRACTION (HF-LPME);PHENOBARBITAL;SECOBARBITAL;TISSUE (LIVER) SAMPLES"
"HOLLOW FIBER LIQUID PHASE MICROEXTRACTION OF TRAMADOL FROM WATER AND BIOLOGICAL SAMPLES"	2006	"WANG X;LIU J-T;WANG Y;ZHAO X-L;GAO L;XU D"	""	""	"GAS CHROMATOGRAPHY (GC);  HOLLOW FIBER MEMBRANE;  LIQUID PHASE MICROEXTRACTION;  PETHIDINE;  TRAMADOL"	"FRESH WATER;NARCOTIC ANALGESIC AGENT;POLYVINYL DERIVATIVE;POLYVINYLIDENE FLUORIDE;TRAMADOL;ARTICLE;ARTIFICIAL MEMBRANE;BLOOD;GAS CHROMATOGRAPHY;HUMAN;ISOLATION AND PURIFICATION;URINE;ANALGESICS;OPIOID;FLAME IONIZATION;HUMANS;MEMBRANES;ARTIFICIAL;POLYVINYLS"	NA	"PHARMACEUTICAL COLLEGE,CHINA MEDICAL UNIVERSITY,SHENYANG 110001,CHINA"	"PHARMACEUTICAL COLLEGE,CHINA MEDICAL UNIVERSITY,SHENYANG 110001,CHINA"	""	"CHINESE JOURNAL OF CHROMATOGRAPHY (SE PU)"	"ARTICLE"	"Scopus"	";GAS CHROMATOGRAPHY (GC);HOLLOW FIBER MEMBRANE;LIQUID PHASE MICROEXTRACTION;PETHIDINE;TRAMADOL"
"HOMICIDE OR CAR ACCIDENT: THE CASE OF THE 'GUILTY' FIBRE"	2019	"DE SIMONE S;MAGLIETTA F;FERRARA M;SPAGNOLO L;RICCI P;DE CARLO D;SALERNO M;SESSA F;BERTOZZI G"	""	""	"CAR ACCIDENT;  CRIME SCENE INVESTIGATION;  MULTIDISCIPLINARY APPROACH;  MURDER"	"AUTOPSY;CAUSE OF DEATH;CRIME VICTIM;FORENSIC SCIENCE;HOMICIDE;HUMAN;MOTOR VEHICLE;PROCEDURES;CRIME VICTIMS;FORENSIC SCIENCES;HUMANS;MOTOR VEHICLES"	NA	"DEPARTMENT OF CLINICAL AND EXPERIMENTAL MEDICINE,SECTION OF LEGAL MEDICINE,UNIVERSITY OF FOGGIA,FOGGIA,ITALY; INSTITUTE OF LEGAL MEDICINE,UNIVERSITA DEGLI STUDI MAGNA GRAECIA DI CATANZARO,CATANZARO,ITALY"	"DEPARTMENT OF CLINICAL AND EXPERIMENTAL MEDICINE,SECTION OF LEGAL MEDICINE,UNIVERSITY OF FOGGIA,FOGGIA,ITALY; INSTITUTE OF LEGAL MEDICINE,UNIVERSITA DEGLI STUDI MAGNA GRAECIA DI CATANZARO,CATANZARO,ITALY"	"10.1177/0025817219830275"	"THE MEDICO-LEGAL JOURNAL"	"ARTICLE"	"Scopus"	";CAR ACCIDENT;CRIME SCENE INVESTIGATION;MULTIDISCIPLINARY APPROACH;MURDER"
"HUMAN AND ANIMAL HAIR IN FORENSIC EVIDENCE: PROBLEMS, TROUBLESHOOTING AND WORKAROUNDS"	2012	"PILLI E"	""	""	""	"NA"	NA	"DEPARTMENT OF EVOLUTIONARY BIOLOGY LEO PARDI,UNIVERSITY OF FLORENCE,ITALY"	"DEPARTMENT OF EVOLUTIONARY BIOLOGY LEO PARDI,UNIVERSITY OF FLORENCE,ITALY"	""	"FORENSIC SCIENCE"	"BOOK CHAPTER"	"Scopus"	""
"HYPOGLYCAEMIA IS A CAUSE OF AXONAL INJURY"	2000	"DOLINAK D;SMITH C;GRAHAM DI"	""	""	"AXONAL INJURY;  HUMAN HYPOGLYCAEMIA;  RAISED INTRACRANIAL PRESSURE"	"ADOLESCENT;ADULT;AGED;ARTICLE;BRAIN HERNIA;CAUSE OF DEATH;CHILD;CLINICAL ARTICLE;COMA;CONTROLLED STUDY;FEMALE;HUMAN;HUMAN TISSUE;HYPOGLYCEMIA;IMMUNOHISTOCHEMISTRY;INTRACRANIAL HYPERTENSION;MALE;NERVE CELL NECROSIS;NERVE FIBER;NEUROPATHOLOGY;PRIORITY JOURNAL;AMYLOID BETA-PROTEIN PRECURSOR;AXONS;BRAIN;BRAIN DAMAGE;CHRONIC;CEREBRAL INFARCTION;ENCEPHALOCELE;HUMANS;INTRACRANIAL PRESSURE;MIDDLE AGED;NECROSIS;NEURONS"	NA	"UNIVERSITY DEPARTMENT OF NEUROPATHOLOGY,INSTITUTE OF NEUROLOGICAL SCIENCES,SOUTH GLASGOW UNIVERSITY HOSPITALS NHS TRUST,UNITED KINGDOM; UNIVERSITY DEPARTMENT OF NEUROPATHOLOGY,1345 GOVAN ROAD,GLASGOW G51 4TF,UNITED KINGDOM"	"UNIVERSITY DEPARTMENT OF NEUROPATHOLOGY,INSTITUTE OF NEUROLOGICAL SCIENCES,SOUTH GLASGOW UNIVERSITY HOSPITALS NHS TRUST,UNITED KINGDOM; UNIVERSITY DEPARTMENT OF NEUROPATHOLOGY,1345 GOVAN ROAD,GLASGOW G51 4TF,UNITED KINGDOM"	"10.1046/j.1365-2990.2000.00273.x"	"NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY"	"ARTICLE"	"Scopus"	";AXONAL INJURY;HUMAN HYPOGLYCAEMIA;RAISED INTRACRANIAL PRESSURE"
"IDENTIFICATION AND COMPARISON"	2013	"PALMER R"	""	""	"COMPARISON;  CROSS-SECTION;  DYE;  FIBERS;  FORENSIC;  IDENTIFICATION;  MICROSCOPY;  SPECTROSCOPY"	"NA"	NA	"NORTHUMBRIA UNIVERSITY,NEWCASTLE UPON TYNE,UNITED KINGDOM"	"NORTHUMBRIA UNIVERSITY,NEWCASTLE UPON TYNE,UNITED KINGDOM"	"10.1016/B978-0-12-382165-2.00092-1"	"ENCYCLOPEDIA OF FORENSIC SCIENCES: SECOND EDITION"	"BOOK CHAPTER"	"Scopus"	";COMPARISON;CROSS-SECTION;DYE;FIBERS;FORENSIC;IDENTIFICATION;MICROSCOPY;SPECTROSCOPY"
"IDENTIFICATION AND PERSISTENCE OF PINUS POLLEN DNA ON COTTON FABRICS: A FORENSIC APPLICATION"	2016	"SCHIELD C;CAMPELLI C;SYCALIK C;HUGHES-STAMM S;GANGITANO D"	"FORENSIC PALYNOLOGY; DNA TYPING; PINUS ECHINATA; POLLEN; SHORT TANDEM; REPEATS; FORENSIC VACUUM HANDLE"	"SIMULATED CONTACTS; CLOTHING MATERIALS; PALYNOLOGY; FIBERS; GLASS; WEAR;; EXAMPLE; CRIME; SCENE"	""	""	"GANGITANO, D (CORRESPONDING AUTHOR), SAM HOUSTON STATE UNIV, COLL CRIMINAL JUSTICE, DEPT FORENS SCI, CHEM \& FORENS SCI BLDG,1003 BOWERS BLVD,OFF 221C, HUNTSVILLE, TX 77340 USA; SCHIELD, CASSANDRA; CAMPELLI, CASSANDRA; SYCALIK, JENNIFER; HUGHES-STAMM, SHEREE; GANGITANO, DAVID, SAM HOUSTON STATE UNIV, COLL CRIMINAL JUSTICE, DEPT FORENS SCI, 1003 BOWERS BLVD, HUNTSVILLE, TX 77340 USA; RANDLE, CHRISTOPHER, SAM HOUSTON STATE UNIV, COLL SCI, DEPT BIOL SCI, LDB 300,AVE 1, HUNTSVILLE, TX 77340 USA"	"GANGITANO, D (CORRESPONDING AUTHOR), SAM HOUSTON STATE UNIV, COLL CRIMINAL JUSTICE, DEPT FORENS SCI, CHEM \& FORENS SCI BLDG,1003 BOWERS BLVD,OFF 221C, HUNTSVILLE, TX 77340 USA; SCHIELD, CASSANDRA; CAMPELLI, CASSANDRA; SYCALIK, JENNIFER; HUGHES-STAMM, SHEREE; GANGITANO, DAVID, SAM HOUSTON STATE UNIV, COLL CRIMINAL JUSTICE, DEPT FORENS SCI, 1003 BOWERS BLVD, HUNTSVILLE, TX 77340 USA; RANDLE, CHRISTOPHER, SAM HOUSTON STATE UNIV, COLL SCI, DEPT BIOL SCI, LDB 300,AVE 1, HUNTSVILLE, TX 77340 USA"	NA	"10.1016/j.scijus.2015.11.005"	"SCIENCE AND JUSTICE"	"ARTICLE"	"WebOfScience"	"FORENSIC PALYNOLOGY;DNA TYPING;PINUS ECHINATA;POLLEN;SHORT TANDEM;REPEATS;FORENSIC VACUUM HANDLE"
"IDENTIFICATION OF A MIXED MICROPARTICLE BY COMBINED MICROSPECTROSCOPIC TECHNIQUES: A REAL FORENSIC CASE STUDY IN THE BIOPHARMACEUTICAL INDUSTRY"	2010	"CAO X;MASATANI P;TORRACA G;WEN ZQ"	"PARTICLE IDENTIFICATION; MIXTURE ANALYSIS; RAMAN MICROSCOPY; FOURIER; TRANSFORM INFRARED MICROSCOPY; SCANNING ELECTRON MICROSCOPY; ENERGY; DISPERSIVE X-RAY SPECTROSCOPY; POLYISOBUTYLENE; HYDRATED MAGNESIUM; SILICATE; TITANIUM DIOXIDE; SILICA"	"SCANNING-ELECTRON-MICROSCOPY; RAMAN-SPECTROSCOPY; INFRARED-SPECTROSCOPY;; POLY(ETHYLENE-TEREPHTHALATE) FIBERS; PARTICLES; SEM/EDS; GLASS"	""	""	"CAO, XL (CORRESPONDING AUTHOR), AMGEN INC, DEPT FORMULAT \& ANALYT RESOURCES, THOUSAND OAKS, CA 91320 USA; CAO, XIAOLIN; MASATANI, PETER; TORRACA, GIANPIERO; WEN, ZAI-QING, AMGEN INC, DEPT FORMULAT \& ANALYT RESOURCES, THOUSAND OAKS, CA 91320 USA"	"CAO, XL (CORRESPONDING AUTHOR), AMGEN INC, DEPT FORMULAT \& ANALYT RESOURCES, THOUSAND OAKS, CA 91320 USA; CAO, XIAOLIN; MASATANI, PETER; TORRACA, GIANPIERO; WEN, ZAI-QING, AMGEN INC, DEPT FORMULAT \& ANALYT RESOURCES, THOUSAND OAKS, CA 91320 USA"	NA	"10.1366/000370210792080957"	"APPLIED SPECTROSCOPY"	"ARTICLE"	"WebOfScience"	"PARTICLE IDENTIFICATION;MIXTURE ANALYSIS;RAMAN MICROSCOPY;FOURIER;TRANSFORM INFRARED MICROSCOPY;SCANNING ELECTRON MICROSCOPY;ENERGY;DISPERSIVE X-RAY SPECTROSCOPY;POLYISOBUTYLENE;HYDRATED MAGNESIUM;SILICATE;TITANIUM DIOXIDE;SILICA"
"IDENTIFICATION OF A RED 'FIBER': CHIRONOMID LARVAE"	1989	"HAWLEY DA;HASKELL NH;MCSHAFFREY DG;WILLIAMS RE;PLESS JE"	""	""	""	"ARTHROPOD;DECOMPOSITION;DROWNING;FATALITY;FORENSIC IDENTIFICATION;IMMERSION;INSECT;NONHUMAN;PRELIMINARY COMMUNICATION;PRIORITY JOURNAL;TIME OF DEATH"	NA	"DEPARTMENT OF ENTOMOLOGY,PURDUE UNIVERSITY,WEST LAFAYETTE,IN 47907,UNITED STATES"	"DEPARTMENT OF ENTOMOLOGY,PURDUE UNIVERSITY,WEST LAFAYETTE,IN 47907,UNITED STATES"	"10.1520/jfs12681j"	"JOURNAL OF FORENSIC SCIENCES"	"ARTICLE"	"Scopus"	""
"IDENTIFICATION OF DETERGENTS FOR FORENSIC FIBER ANALYSIS"	2016	"HEIDER EC;MUJUMDAR N;CAMPIGLIA AD"	"FORENSIC FIBERS; PRINCIPAL COMPONENT ANALYSIS; FLUORESCENCE MICROSCOPY; DETERGENT ANALYSIS"	"FLUORESCENT WHITENING AGENTS; SINGLE TEXTILE FIBERS; RAMAN-SPECTROSCOPY;; CHROMATOGRAPHY; MICROSCOPY"	"DETERGENT ANALYSIS;  FLUORESCENCE MICROSCOPY;  FORENSIC FIBERS;  PRINCIPAL COMPONENT ANALYSIS"	"FIBERS;FLUORESCENCE;FLUORESCENCE MICROSCOPY;LAUNDERING;SOAPS (DETERGENTS);TEXTILE FIBERS;TEXTILES;ACRYLIC FIBERS;BULK SPECIMENS;NYLON FIBER;SINGLE FIBER;SPECTRAL CHARACTERISTICS;SPECTRAL SIGNATURE;TRACE EVIDENCES;WHITENING AGENTS;PRINCIPAL COMPONENT ANALYSIS"	"CAMPIGLIA, AD (CORRESPONDING AUTHOR), UNIV CENT FLORIDA, DEPT CHEM, 4111 LIBRA DR,POB 25000, ORLANDO, FL 32816 USA; CAMPIGLIA, AD (CORRESPONDING AUTHOR), UNIV CENT FLORIDA, NATL CTR FORENS SCI, POB 162367, ORLANDO, FL 32816 USA; HEIDER, EMILY C; MUJUMDAR, NIRVANI; CAMPIGLIA, ANDRES D, UNIV CENT FLORIDA, DEPT CHEM, 4111 LIBRA DR,POB 25000, ORLANDO, FL 32816 USA; CAMPIGLIA, ANDRES D, UNIV CENT FLORIDA, NATL CTR FORENS SCI, POB 162367, ORLANDO, FL 32816 USA"	"DEPARTMENT OF CHEMISTRY,UNIVERSITY OF CENTRAL FLORIDA,4111 LIBRA DRIVE,P.O. BOX 25000,ORLANDO,FL  32816-2366,UNITED STATES; NATIONAL CENTER FOR FORENSIC SCIENCE,P.O. BOX 162367,FL  32816-2367,UNITED STATES"	"DEPARTMENT OF CHEMISTRY,UNIVERSITY OF CENTRAL FLORIDA,4111 LIBRA DRIVE,P.O. BOX 25000,ORLANDO,FL  32816-2366,UNITED STATES; NATIONAL CENTER FOR FORENSIC SCIENCE,P.O. BOX 162367,FL  32816-2367,UNITED STATES"	"10.1007/s00216-016-9927-8"	"ANALYTICAL AND BIOANALYTICAL CHEMISTRY"	"ARTICLE"	"Scopus,WebOfScience"	"FORENSIC FIBERS;PRINCIPAL COMPONENT ANALYSIS;FLUORESCENCE MICROSCOPY;DETERGENT ANALYSIS"
"IDENTIFICATION OF DRIVERS IN TRAFFIC ACCIDENTS AND DETERMINATION OF PASSENGER POSITION IN A VEHICLE BY FINGER MARKS"	2012	"TRAPEAR M;LIPINIK MI;BALAIC J;TRAPECAR M;LIPICNIK MI;BALAZIC J"	"TRAFFIC ACCIDENTS; ACCIDENT ANALYSIS; DRIVER'S IDENTITY; PASSENGERS'; POSITION; FINGER MARKS; HUMAN SKIN"	""	"ACCIDENT ANALYSIS;  DRIVER'S IDENTITY;  FINGER MARKS;  HUMAN SKIN;  PASSENGERS' POSITION;  TRAFFIC ACCIDENTS"	"ACCIDENT;FORENSIC SCIENCE;SKIN;THEORETICAL STUDY;TRACE ELEMENT;TRANSPORTATION SYSTEM"	"TRAPECAR, M (CORRESPONDING AUTHOR), MINIST INTERIOR, NATL FORENS LAB, STEFANOVA 2, LJUBLJANA 1000, SLOVENIA; TRAPECAR, MATEJ, MINIST INTERIOR, NATL FORENS LAB, LJUBLJANA 1000, SLOVENIA; LIPICNIK, MARTIN IVAN, UNIV MARIBOR, FAC LOGIST, CELJE 3000, SLOVENIA; BALAZIC, JOZE, UNIV LJUBLJANA, FAC MED, INST FORENS MED, LJUBLJANA 1000, SLOVENIA"	"MINISTRY OF THE INTERIOR,NATIONAL FORENSIC LABORATORY,TEFANOVA 2,1000 LJUBLJANA,SLOVENIA; UNIVERSITY OF MARIBOR,FACULTY OF LOGISTICS,MARIBORSKA CESTA 7,3000 CELJE,SLOVENIA; UNIVERSITY OF LJUBLJANA,MEDICAL FACULTY INSTITUTE OF FORENSIC MEDICINE,KORYTKOVA 2,SLOVENIA"	"MINISTRY OF THE INTERIOR,NATIONAL FORENSIC LABORATORY,TEFANOVA 2,1000 LJUBLJANA,SLOVENIA; UNIVERSITY OF MARIBOR,FACULTY OF LOGISTICS,MARIBORSKA CESTA 7,3000 CELJE,SLOVENIA; UNIVERSITY OF LJUBLJANA,MEDICAL FACULTY INSTITUTE OF FORENSIC MEDICINE,KORYTKOVA 2,SLOVENIA"	"10.7307/ptt.v24i1.268"	"PROMET - TRAFFIC - TRAFFICO"	"REVIEW"	"Scopus,WebOfScience"	"TRAFFIC ACCIDENTS;ACCIDENT ANALYSIS;DRIVER'S IDENTITY;PASSENGERS';POSITION;FINGER MARKS;HUMAN SKIN;PASSENGERS' POSITION"
