Authors	Author(s) ID	Title	Year	Source title	Volume	Issue	Art. No.	Page start	Page end	Page count	Cited by	DOI	Link	Author Keywords	Index Keywords	Document Type	Publication Stage	Access Type	Source	EID
"Mizia E., Tomaszewski K.A., Lis G.J., Goncerz G., Kurzyd?o W."	24481437300;42462726800;56353849200;7801428687;55341257600;	The use of computer-assisted image analysis in measuring the histological structure of the human median nerve	2012	Folia Morphologica (Poland)	71	2		82	85		11		https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865266085&partnerID=40&md5=709aad37bbf2d1a43d08546df35f15ef	Carpal tunnel; Motor branch; Nerve bundles	"article; cadaver; carpal bone; female; histology; human; image processing; male; median nerve; nerve fiber; Cadaver; Carpal Bones; Female; Humans; Image Processing, Computer-Assisted; Male; Median Nerve; Nerve Fibers"	Article	Final		Scopus	2-s2.0-84865266085
"Naudé Y., Rohwer E.R."	24069097100;35517431300;	Novel method for determining DDT in vapour and particulate phases within contaminated indoor air in a malaria area of South Africa	2012	Analytica Chimica Acta	730			112	119		11	10.1016/j.aca.2012.02.054	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861344956&doi=10.1016%2fj.aca.2012.02.054&partnerID=40&md5=233235a5565c20a3b222c9b5082a5b6b	Airborne contaminants; Denuder; Environmental forensics; Multi-channel open tubular trap; Persistent organic pollutants (POPs); Polydimethylsiloxane (PDMS) sorptive extraction	"Airborne contaminants; Denuders; Environmental forensics; Open tubular traps; Persistent organic pollutants; Sorptive extraction; Air filters; Contamination; Ethane; Extraction; Glass fibers; Microchannels; Silicones; Vapors; Insecticides; 1,1 dichloro 2,2 bis(4 chlorophenyl)ethane; 1,1 dichloro 2,2 bis(4 chlorophenyl)ethylene; 1,1,1 trichloro 2 (2 chlorophenyl) 2 (4 chlorophenyl)ethane; chlorphenotane; dimeticone; mitotane; air analysis; air monitoring; air sampler; airflow; article; concentration (parameters); controlled study; degradation; dust exposure; extraction; indoor air pollution; limit of detection; mass fragmentography; multi channel open tubular trap; particulate phase; physical phase; priority journal; South Africa; vapor phase; Absorption; Air Pollution, Indoor; DDT; Dichlorodiphenyl Dichloroethylene; Dichlorodiphenyldichloroethane; Dimethylpolysiloxanes; Dust; Environmental Monitoring; Gas Chromatography-Mass Spectrometry; Humans; Insecticides; Limit of Detection; Malaria; South Africa; Volatilization"	Article	Final		Scopus	2-s2.0-84861344956
"Li Q., Qiu T., Hao H., Zhou H., Wang T., Zhang Y., Li X., Huang G., Cheng J."	36072924100;8956861500;35203211100;56422756400;55055853900;57196200032;55988977100;36339532500;26643191200;	Rapid and on-site analysis of illegal drugs on the nano-microscale using a deep ultraviolet-visible reflected optical fiber sensor	2012	Analyst	137	7		1596	1603		11	10.1039/c2an15953h	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863249075&doi=10.1039%2fc2an15953h&partnerID=40&md5=601fe259025087030249096bf6acc412			Article	Final		Scopus	2-s2.0-84863249075
"Combrinck M., Gilbert J.D., Byard R.W."	57207255454;7401451996;35598285900;	Pseudoxanthoma elasticum and sudden death	2011	Journal of Forensic Sciences	56	2		418	422		11	10.1111/j.1556-4029.2010.01647.x	https://www.scopus.com/inward/record.uri?eid=2-s2.0-79951826886&doi=10.1111%2fj.1556-4029.2010.01647.x&partnerID=40&md5=0372069c307d6f29d3d53488a40d252d	Atherosclerosis; Calcification; Connective tissue disorder; Forensic science; Hemorrhage; Pseudoxanthoma elasticum; Sudden death	"ABCC6 protein, human; multidrug resistance protein; article; atherosclerosis; biopsy; brain hemorrhage; calcinosis; electron microscopy; female; forensic pathology; gastrointestinal hemorrhage; genetics; heart muscle ischemia; human; hypertension; incidence; mitral valve prolapse; mutation; pathology; pregnancy; pregnancy complication; pseudoxanthoma elasticum; skin; sudden death; Atherosclerosis; Biopsy; Calcinosis; Death, Sudden; Female; Forensic Pathology; Gastrointestinal Hemorrhage; Humans; Hypertension; Incidence; Intracranial Hemorrhages; Microscopy, Electron; Mitral Valve Prolapse; Multidrug Resistance-Associated Proteins; Mutation; Myocardial Ischemia; Pregnancy; Pregnancy Complications; Pseudoxanthoma Elasticum; Skin"	Article	Final		Scopus	2-s2.0-79951826886
"Wilson A.S., Tobin D.J."	57207872343;7006453386;	Hair after death	2010	Aging Hair				249	261		11	10.1007/978-3-642-02636-2_24	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885108055&doi=10.1007%2f978-3-642-02636-2_24&partnerID=40&md5=553e36b2e6c727f5e91428a384001552			Book Chapter	Final		Scopus	2-s2.0-84885108055
"Gottzein A.K., Musshoff F., Madea B."	26631606500;7004270574;7102211257;	Qualitative screening for volatile organic compounds in human blood using solid-phase microextraction and gas chromatography-mass spectrometry	2010	Journal of Mass Spectrometry	45	4		391	397		11	10.1002/jms.1723	https://www.scopus.com/inward/record.uri?eid=2-s2.0-77950597902&doi=10.1002%2fjms.1723&partnerID=40&md5=93beb4713b16129b637ec23691541db6	Central composite design; GC-MS; Screening; SPME; Volatile organic compounds	Central composite design; Central composite designs; Chemical characteristic; Crime scenes; Desorption temperatures; Gas chromatography-mass spectrometry; GC-MS; Human bloods; Isoflurane; Limits of detection; Maximum sensitivity; Qualitative screening; Routine analysis; Scan mode; Screening techniques; Simultaneous determinations; Solid-phase microextraction; SPME-GC-MS; Anesthetics; Aromatic hydrocarbons; Benzene; Chlorine compounds; Design; Desorption; Extraction; Hexane; Mass spectrometry; Paraffins; Toluene; Volatile organic compounds; Xylene; Gas chromatography; benzene; chloroform; halothane; hexane; isoflurane; toluene; volatile organic compound; xylene; agitation; article; blood analysis; crime; desorption; forensic medicine; human; mass fragmentography; priority journal; screening; sensitivity analysis; simulation; solid phase microextraction; temperature; toxicology; Analysis of Variance; Dimethylpolysiloxanes; Forensic Medicine; Gas Chromatography-Mass Spectrometry; Humans; Hydrogen-Ion Concentration; Nylons; Reproducibility of Results; Salts; Sensitivity and Specificity; Solid Phase Microextraction; Temperature; Toluene; Volatile Organic Compounds; Water	Article	Final		Scopus	2-s2.0-77950597902
"Yoshida H., Kaneko T., Suzuki S."	55484179600;35494141000;8654989200;	A solid-phase microextraction method for the detection of ignitable liquids in fire debris	2008	Journal of Forensic Sciences	53	3		668	676		11	10.1111/j.1556-4029.2008.00704.x	https://www.scopus.com/inward/record.uri?eid=2-s2.0-43449106796&doi=10.1111%2fj.1556-4029.2008.00704.x&partnerID=40&md5=ba18541e448d96438f9c276ae56b82fb	Accelerants; Arson analysis; Fire debris; Forensic science; Gas chromatography; Ignitable liquids; Mass spectrometry; Plastic evidence bag; Solid-phase microextraction	carboxen; chemical agent; diesel fuel; dimeticone; divinylbenzene; gasoline; kerosene; macrogol; plastic; polyacrylic acid; volatile agent; article; fire; gas chromatography; mass spectrometry; priority journal; screening test; simulation; solid phase microextraction	Article	Final		Scopus	2-s2.0-43449106796
"Yahata M., Namera A., Nishida M., Yashiki M., Kuramoto T., Kimura K."	8137347600;7004703223;7403124138;7005203253;8137347700;7404821531;	In-matrix derivatization and automated headspace solid-phase microextraction for GC-MS determination of amphetamine-related drugs in human hair	2006	Forensic Toxicology	24	2		51	57		11	10.1007/s11419-006-0010-6	https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845906866&doi=10.1007%2fs11419-006-0010-6&partnerID=40&md5=09f55f9481f8221c1ed7884f589270d2	Amphetamine; Hair analysis; MDA; MDMA; Methamphetamine; SPME	amphetamine; amphetamine derivative; chloroformic acid ethyl ester; methamphetamine; analysis; article; calibration; controlled study; derivatization; desorption; drug abuse; gas chromatography; hair; hospital admission; human; human tissue; mass spectrometry; priority journal; sample; solid phase microextraction	Article	Final		Scopus	2-s2.0-33845906866
"Wiggins K.G., Emes A., Brackley L.H."	7003873724;6602886526;6506075261;	The transfer and persistence of small fragments of polyurethane foam onto clothing	2002	Science and Justice - Journal of the Forensic Science Society	42	2		105	110		11	10.1016/S1355-0306(02)71806-6	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036554273&doi=10.1016%2fS1355-0306%2802%2971806-6&partnerID=40&md5=3cf3f99f30129fee789613c564696268	Cotton; Criminalistics; Fibre; Forensic science; Polyurethane foam; Transfer persistence	polyurethan foam; article; clothing; cotton; criminal behavior; criminal justice; death; female; fiber; forensic identification; human; male; normal human; particle size; scanning electron microscopy	Article	Final		Scopus	2-s2.0-0036554273
"Amirkhanian V.D., Liu M.-S."	7801663714;27169308500;	Low-cost and high-throughput multi-channel capillary electrophoresis (MCCE) system for DNA analysis	2002	Proceedings of SPIE - The International Society for Optical Engineering	4626			238	246		11	10.1117/12.472087	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036406718&doi=10.1117%2f12.472087&partnerID=40&md5=3c87e2b5a3cda8774a773c87dee14ba3	Capillary electrophoresis; DNA fragment analysis; Fluorescence detection; Genomics; Optical fibers	Capillarity; Discharge lamps; Electrophoresis; Fluorescence; Lasers; Multiplexing; Optical fibers; Ultraviolet lamps; Multi-channel capillary electrophoresis (MCCE); DNA	Conference Paper	Final		Scopus	2-s2.0-0036406718
Grieve M.C.	7003921245;	A survey on the evidential value of fibres and on the interpretaion of the findings m fibre transfer cases. Part 1 - Fibre frequencies	2000	Science and Justice - Journal of the Forensic Science Society	40	3		189	200		11	10.1016/S1355-0306(00)71975-7	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033821147&doi=10.1016%2fS1355-0306%2800%2971975-7&partnerID=40&md5=948a1b3710ab3ae8d7d6aacee3513175	Bayes theorem; Databases; Evidential value; Fibre frequencies; Fibres; Forensic science	analytic method; article; clothing; fiber; forensic science; reliability; validation process	Article	Final		Scopus	2-s2.0-0033821147
Palmer R.	55636317627;	The retention and recovery of transferred fibers following the washing of recipient clothing	1998	Journal of Forensic Sciences	43	3		502	504		11		https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031834123&partnerID=40&md5=423cc19b1ec877f347279ed272271bf8	Acrylic; Automated fiber finder; Fibers; Forensic science; FX5; Recovery; Retention; Washing	analytic method; article; autoanalyzer; clothing; criminology; fiber; forensic identification; laboratory test; priority journal	Article	Final		Scopus	2-s2.0-0031834123
"Rajs J., Råsten-Almqvist P., Nennesmo I."	7005975428;7801595535;7003653553;	Unexpected death in two young infants mimic SIDS: Autopsies demonstrate tumors of medulla and heart	1997	American Journal of Forensic Medicine and Pathology	18	4		384	390		11	10.1097/00000433-199712000-00013	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0344404083&doi=10.1097%2f00000433-199712000-00013&partnerID=40&md5=1439ad08537a79580bdcb5d2588e8717	Heart fibroma; Medulla; Oligodendroglioma; SIDS	"article; autopsy; heart left ventricle; heart tumor; human; human tissue; infant; infant disease; major clinical study; medulla oblongata; oligodendroglioma; sudden death; sudden infant death syndrome; tumor diagnosis; Brain Neoplasms; Death, Sudden; Diagnosis, Differential; Fatal Outcome; Female; Fibroma; Heart Neoplasms; Heart Ventricles; Humans; Infant; Male; Medulla Oblongata; Oligodendroglioma; Sudden Infant Death"	Article	Final		Scopus	2-s2.0-0344404083
"Lee X.-P., Kumazawa T., Furuta S., Kurosawa T., Akiya K., Akiya I., Sato K."	7005940641;7202819297;7203070545;10739688200;7004082538;10839378000;56405787400;	Detection of cresol isomers and phenol in human whole blood by headspace Solid-Phase Micro Extraction (SPME) and capillary gas chromatography	1997	Japanese Journal of Forensic Toxicology	15	1		21	28		11		https://www.scopus.com/inward/record.uri?eid=2-s2.0-0002097168&partnerID=40&md5=9bb110b14cea16e4e88d324ae871499d	Capillary gas chromatography; Headspace method; m-Cresol; o-Cresol; p-Cresol; Phenol; Solid-phase micro extraction (SPME)		Article	Final		Scopus	2-s2.0-0002097168
"Cartier J., Roux C., Grieve M."	6603777222;7202017940;7003921245;	A study to investigate the feasibility of using X-ray fluorescence microanalysis to improve discrimination between colorless synthetic fibers	1997	Journal of Forensic Sciences	42	6		1019	1026		11		https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030698709&partnerID=40&md5=82d39dc70cc89a07bfec5c21f7e2c730	Acrylic; Brightfield microscopy; Colorless fibers; Criminalistics; Fluorescence microscopy; Forensic science; Fourier transform infrared microspectrometry; Polyester; X-ray fluorescence microanalysis	acrylic acid; polyester; article; crime; fiber; forensic science; fourier transformation; microanalysis; priority journal; spectrometry; X ray fluorescence	Article	Final		Scopus	2-s2.0-0030698709
"Wa?s J., Knittel D., Schollmeyer E."	6507523171;7006765041;35589207100;	The use of FTIR microspectroscopy for the identification of thermally changed fibers	1996	Journal of Forensic Sciences	41	6		1005	1011		11		https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029913523&partnerID=40&md5=db5314b5616f0d9459c5b2d025fe6843	criminalistics; fiber identification; fibers; forensic science; fourier transform infrared microanalysis; organic and inorganic compounds; thermal degradation	acrylic acid; polyamide; polyester; polypropylene; article; cotton; degradation; fiber; forensic science; infrared spectroscopy; priority journal; textile; thermal exposure; wool	Article	Final		Scopus	2-s2.0-0029913523
"Rendle D.F., Wiggins K.G."	6602715582;7003873724;	Forensic analysis of textile fibre dyes	1995	Review of Progress in Coloration and Related Topics	25	1		29	34		11	10.1111/j.1478-4408.1995.tb00101.x	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029152609&doi=10.1111%2fj.1478-4408.1995.tb00101.x&partnerID=40&md5=df07d1843c61c6e31deeb3f276de6578		dye; fibres; forensic; testing	Article	Final		Scopus	2-s2.0-0029152609
"Fu C., Jasani B., Vujanic G.M., Leadbeatter S., Berry P.J., Knight B.H."	56317827600;55798299600;7005591155;7003685139;35473568700;7201940598;	The immunocytochemical demonstration of a relative lack of nerve fibres in the atrioventricular node and bundle of His in the sudden infant death syndrome (SIDS)	1994	Forensic Science International	66	3		175	185		11	10.1016/0379-0738(94)90342-5	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028356245&doi=10.1016%2f0379-0738%2894%2990342-5&partnerID=40&md5=78ebde8ecc42e091778ae42239b14ef7	Cardiac conduction system; Immunocytochemistry; PGP 9.5; S100; Sudden infant death syndrome (SIDS)	"gene product; protein s 100; article; controlled study; female; fetus; heart atrioventricular node; heart muscle conduction system; his bundle; human; human tissue; immunocytochemistry; infant; male; nerve fiber; newborn; priority journal; schwann cell; sinus node; staining; sudden death; sudden infant death syndrome; Atrioventricular Node; Bundle of His; Calcium-Binding Proteins; Case-Control Studies; Death, Sudden; Female; Forensic Medicine; Human; Immunohistochemistry; Infant; Infant, Newborn; Male; Nerve Fibers; S100 Proteins; Sudden Infant Death; Support, Non-U.S. Gov't; Thiolester Hydrolases"	Article	Final		Scopus	2-s2.0-0028356245
"Laing D.K., Boughey L., Hartshorne A.W."	7006345328;6505474258;6602150474;	The standardisation of thin layer chromatographic systems for comparison of fibre dyes	1990	Journal of the Forensic Science Society	30	5		299	307		11	10.1016/S0015-7368(90)73358-0	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025633184&doi=10.1016%2fS0015-7368%2890%2973358-0&partnerID=40&md5=9a1141e68c1ef7b1c37557f2c3910019	Dyes; Fibres; Standardisation; TLC	dye; article; fiber; standardization; thin layer chromatography	Note	Final		Scopus	2-s2.0-0025633184
"Golding G.M., Kokot S."	7004093158;7005725737;	The selection of noncorrelated thin-layer chromatographic (TLC) solvent systems for the comparison of dyes extracted from transferred fibers	1989	Journal of Forensic Sciences	34	5		1156	1165		11		https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024347316&partnerID=40&md5=05d1f9f69e4795da7b44f12a3ce5b473		dye; fiber; forensic identification; nonhuman; preliminary communication; priority journal; thin layer chromatography	Article	Final		Scopus	2-s2.0-0024347316
"Simpson R.H.W., Berson D.S., Shapiro H.A."	7403403963;57197343075;7202025578;	The diagnosis of diffuse axonal injury in routine autopsy practice	1985	Forensic Science International	27	4		229	235		11	10.1016/0379-0738(85)90142-2	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0021882559&doi=10.1016%2f0379-0738%2885%2990142-2&partnerID=40&md5=bddf40b76f4575c06960359b8b14d614	Autopsy; Diffuse axonal injury; Head injury	"adult; autopsy; brain injury; case report; central nervous system; diagnosis; forensic medicine; head injury; histology; histopathology; human; injury; legal aspect; nerve fiber; nervous system; priority journal; short survey; Accidents, Traffic; Adult; Axons; Brain; Brain Concussion; Brain Damage, Chronic; Case Report; Forensic Medicine; Human; Male"	Article	Final		Scopus	2-s2.0-0021882559
"Beattie B., Roberts H., Dudley R.J."	7006523741;7201465378;7102777447;	The Extraction and Classification of Dyes from Cellulose Acetate Fibres	1981	Journal of the Forensic Science Society	21	3		233	237		11	10.1016/S0015-7368(81)71391-4	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0019512268&doi=10.1016%2fS0015-7368%2881%2971391-4&partnerID=40&md5=c4c0cfe63f1296d9d1a9c08853218f7a		cellulose acetate; dye; diagnosis; drug isolation; fiber; forensic medicine; methodology	Article	Final		Scopus	2-s2.0-0019512268
"Smalldon K.W., Ardrey R.E., Mullings L.R."	7004610478;6603089974;9240538300;	The characterization of closely related polymeric materials by thermogravimetry-mass spectrometry	1979	Analytica Chimica Acta	107	C		327	334		11	10.1016/S0003-2670(01)93223-4	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0039603101&doi=10.1016%2fS0003-2670%2801%2993223-4&partnerID=40&md5=c5151d06973b75a64027fcfcd4542caa			Article	Final		Scopus	2-s2.0-0039603101
"Grieve M.C., Kotowski T.M."	7003921245;6602277957;	The identification of polyester fibers in forensic science	1977	Journal of Forensic Sciences	22	2		390	401		11		https://www.scopus.com/inward/record.uri?eid=2-s2.0-0017614765&partnerID=40&md5=3fc7f84107239be062ffd14f99411137		methodology; polyester fiber		Final		Scopus	2-s2.0-0017614765
"Brinkmann B., Püschel K."	7103117269;35500896800;	On histomorphological changes of the heart and skeleton muscles in malignant hyperpyrexia [Zur Histomorphologie der Herz- und Skelette-muskulatur bei maligner Hyperthermie]	1977	Zeitschrift für Rechtsmedizin	80	2		117	133		11	10.1007/BF00200882	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0017688866&doi=10.1007%2fBF00200882&partnerID=40&md5=0dc8a42539e1f3d6534f376625d3c12c		"atropine; cyclopropane; diazepam; ether; halothane; methoxyflurane; nitrous oxide; pethidine; propanidid; suxamethonium; thiopental; trichloroethylene; anesthesia; autopsy; body temperature; diagnosis; etiology; fatality; fluoro ether; forensic medicine; heart; heart muscle cell; heart muscle fiber degeneration; histology; major clinical study; malignant hyperthermia; muscle; muscle atrophy; Adolescent; Adult; Anesthesia, Intratracheal; Body Temperature; Child, Preschool; English Abstract; Female; Human; Hypothermia, Induced; Male; Malignant Hyperthermia; Muscles; Myocardium"	Article	Final		Scopus	2-s2.0-0017688866
Haerem J.W.	6602927680;	"Myocardial lesions in sudden, unexpected coronary death"	1975	American Heart Journal	90	5		562	568		11	10.1016/0002-8703(75)90218-5	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0016820068&doi=10.1016%2f0002-8703%2875%2990218-5&partnerID=40&md5=22c3bcbeb53bc36a2982efbf6cf65b6a		"autopsy; diagnosis; etiology; fatality; forensic medicine; heart; heart atrioventricular node; heart infarction; heart muscle cell; heart muscle fibrosis; heart ventricle hypertrophy; his bundle; histology; major clinical study; sudden death; Aged; Autopsy; Coronary Disease; Death, Sudden; Female; Heart; Heart Conduction System; Human; Male; Middle Age; Myocardial Infarction; Myocardium; Organ Weight"	Article	Final		Scopus	2-s2.0-0016820068
"Nori D.V., McCord B.R."	57195455770;7004001442;	The application of alkaline lysis and pressure cycling technology in the differential extraction of DNA from sperm and epithelial cells recovered from cotton swabs	2020	Analytical and Bioanalytical Chemistry	407	23				10	10	10.1007/s00216-015-8737-8	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027957801&doi=10.1007%2fs00216-015-8737-8&partnerID=40&md5=67a5bed4f9af254332b48d20b56d65ba	Differential extraction; Forensics; Nucleic acids (DNA | RNA); PCR; Pressure cycling; Short tandem repeat; Toxicology	"Alkalinity; Cells; Chlorine compounds; Cotton; Cytology; DNA; Extraction; Mixtures; Molecular biology; Recovery; Sodium hydroxide; Differential extractions; Forensics; Pressure cycling; Short tandem repeats; Toxicology; Polymerase chain reaction; antacid agent; DNA; cell culture; chemistry; cotton; DNA fingerprinting; epithelium cell; female; forensic genetics; human; isolation and purification; laboratory diagnosis; male; physiology; pressure; procedures; spermatozoon; Antacids; Cells, Cultured; Cotton Fiber; DNA; DNA Fingerprinting; Epithelial Cells; Female; Forensic Genetics; Humans; Male; Pressure; Specimen Handling; Spermatozoa"	Article	Article in Press		Scopus	2-s2.0-85027957801
"Alsenedi K.A., Morrison C."	57194715132;37102363100;	Determination of amphetamine-type stimulants (ATSs) and synthetic cathinones in urine using solid phase micro-extraction fibre tips and gas chromatography-mass spectrometry	2018	Analytical Methods	10	12		1431	1440		10	10.1039/c8ay00041g	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044323361&doi=10.1039%2fc8ay00041g&partnerID=40&md5=f88c4863e686547440aa41e74ec50b3e		Body fluids; Chemical analysis; Chromatographic analysis; Chromatography; Desorption; Drug products; Gas chromatography; Ionic strength; Mass spectrometry; Metabolites; Microchannels; Phase separation; Solvents; Spectrometry; Accuracy and precision; Extraction procedure; Gas chromatography-mass spectrometries (GC-MS); Gas chromatography-mass spectrometry; Green analytical chemistry; Quantification methods; Solid phase micro extraction; Solid-phase extraction; Extraction	Article	Final	Open Access	Scopus	2-s2.0-85044323361
"Nazari M., Bokhart M.T., Muddiman D.C."	56443720600;55923473500;7005070825;	Whole-body mass spectrometry imaging by infrared matrix-assisted laser desorption electrospray ionization (IR-MALDESI)	2016	Journal of Visualized Experiments	2016	109	 e53942				10	10.3791/53942	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962449609&doi=10.3791%2f53942&partnerID=40&md5=c455ff2bf53691d665e940cf954de03d	Bioengineering; IR-MALDESI; Issue 109; Lipids; Mass spectrometry imaging; Metabolites; Tissue analysis; Whole-body imaging	"histology; matrix-assisted laser desorption-ionization mass spectrometry; procedures; Histocytological Preparation Techniques; Spectrometry, Mass, Matrix-Assisted Laser Desorption-Ionization"	Article	Final		Scopus	2-s2.0-84962449609
"Kamanna S., Henry J., Voelcker N.H., Linacre A., Kirkbride K.P."	55178572800;36884819800;6602826971;6701572366;56337473100;	Direct identification of forensic body fluids using matrix-assisted laser desorption/ionization time-of-flight mass spectrometry	2016	International Journal of Mass Spectrometry	397-398			18	26		10	10.1016/j.ijms.2016.01.002	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960105439&doi=10.1016%2fj.ijms.2016.01.002&partnerID=40&md5=5bd989cd09e6c3bbc308d23f997af934	Body fluids; Fabric substrates; Forensic science; Matrix-assisted laser desorption/ionization time-of-flight mass spectrometry (MALDI-ToF MS); Protein biomarkers		Article	Final		Scopus	2-s2.0-84960105439
"Gál L., Oravec M., Gemeiner P., ?eppan M."	25621503200;27867921400;37088586600;6603611038;	Principal component analysis for the forensic discrimination of black inkjet inks based on the Vis-NIR fibre optics reflection spectra	2015	Forensic Science International	257			285	292		10	10.1016/j.forsciint.2015.09.011	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944052279&doi=10.1016%2fj.forsciint.2015.09.011&partnerID=40&md5=64edf4f0ffbb131b4dbc82dd58c92617	Forensic document examination; Inkjet ink; Principal component analysis; Vis-NIR spectrophotometry	black inkjet ink; ink; unclassified drug; Article; controlled study; correlation coefficient; forensic identification; general device; high performance thin layer chromatography; mass fragmentography; mathematical analysis; principal component analysis; printing; priority journal; reference database; spectrophotometry; spectroscopy; validation process; visible and near infrared region fibre optics reflection spectroscopy	Article	Final		Scopus	2-s2.0-84944052279
"Kao Y.-Y., Cheng S.-C., Cheng C.-N., Shiea J., Ho H.-O."	55937101800;24463408800;55314156200;35550066700;7401465338;	Detection of trace ink compounds in erased handwritings using electrospray-assisted laser desorption ionization mass spectrometry	2014	Journal of Mass Spectrometry	49	6		445	451		10	10.1002/jms.3356	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902134344&doi=10.1002%2fjms.3356&partnerID=40&md5=4a9dc634e62853388dc15a4c268a6f8c	document examination; electrospray-assisted laser desorption ionization; erasable ink; forensic science; mass spectrometry	"Desorption; Ionization; Mass spectrometry; Document examinations; Electrospray plume; Forensic science; High spatial resolution; Laser desorption ionization; Laser desorption ionization mass spectrometry; Mass analyzers; Quadrupole time of flight mass spectrometry; Electrospray ionization; ink; article; desorption; document examination; electrospray assisted laser desorption ionization mass spectrometry; electrospray mass spectrometry; irradiation; laser; priority journal; quadrupole mass spectrometry; time of flight mass spectrometry; electrospray mass spectrometry; forensic science; handwriting; mass spectrometry; paper; procedures; Forensic Sciences; Handwriting; Ink; Paper; Spectrometry, Mass, Electrospray Ionization; Spectrometry, Mass, Matrix-Assisted Laser Desorption-Ionization"	Article	Final		Scopus	2-s2.0-84902134344
"Mengali S., Liberatore N., Luciani D., Viola R., Cardinali G.C., Elmi I., Poggi A., Zampolli S., Biavardi E., Dalcanale E., Bonadio F., Delemont O., Esseiva P., Romolo F.S."	6506942098;6506536296;24335784200;56649981300;7005036250;6507885144;7101947837;6506329938;23984088500;7003485950;15762171000;16052038000;8660271000;6508292376;	Rapid screening and identification of illicit drugs by IR absorption spectroscopy and gas chromatography	2013	Proceedings of SPIE - The International Society for Optical Engineering	8631		 86312F				10	10.1117/12.2003903	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875787749&doi=10.1117%2f12.2003903&partnerID=40&md5=d533770db5e6aa4fdbeb71080efed824	External Cavity Quantum Cascade Laser; Gas Chromatography; Infrared Absorption Spectroscopy	Analytical instrument; Chemical separation; Controlled temperature; European Commission; External cavity; Internal diameters; IR absorption spectroscopy; Limits of detection; Chemical detection; Drug products; Infrared absorption; Light absorption; Nanophotonics; Quantum cascade lasers; Sensors; Vapors; Gas chromatography	Conference Paper	Final		Scopus	2-s2.0-84875787749
"Prada A., Furton K.G."	55854412600;7004543580;	Recent advances in solid-phase microextraction for forensic applications	2012	Comprehensive Sampling and Sample Preparation	3			877	891		10	10.1016/B978-0-12-381373-2.00117-4	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877125614&doi=10.1016%2fB978-0-12-381373-2.00117-4&partnerID=40&md5=ded2357c3fc5badc208fd0530505f233	Biological matrices; Chemical warfare agents; Drug profiling; Explosive detection; Forensic toxicology; Human scent; Ignitableliquid residues; Solid-phase microextraction; Time since discharge; Volatile odor signatures		Book Chapter	Final		Scopus	2-s2.0-84877125614
"Cascini F., Passerotti S., Martello S."	8601765300;35181801200;7004414081;	A real-time PCR assay for the relative quantification of the tetrahydrocannabinolic acid (THCA) synthase gene in herbal Cannabis samples	2012	Forensic Science International	217	01-Mar		134	138		10	10.1016/j.forsciint.2011.10.041	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858793551&doi=10.1016%2fj.forsciint.2011.10.041&partnerID=40&md5=decdeaee9e794480351c90f69f7dec14	Cannabis; Forensic science; Potency; Real-time PCR; Tetrahydrocannabinol; Tetrahydrocannabinolic acid; THCA synthase gene	"cannabis; synthetase; tetrahydrocannabinolic acid synthase; unclassified drug; article; controlled study; gene dosage; nonhuman; nucleotide sequence; plant gene; priority journal; quantitative analysis; real time polymerase chain reaction; THCA synthase gene; validation process; Cannabis; DNA, Plant; Intramolecular Oxidoreductases; Plants, Genetically Modified; Real-Time Polymerase Chain Reaction"	Article	Final		Scopus	2-s2.0-84858793551
